strategy,LCOW,pct_savings,correlation
simulation,0.2698180200399067,0.0,guillen
spacer,0.2502430864703711,7.254865174179407,guillen
module,0.2652352401368172,1.6984706590062704,guillen
system,0.2629062113568318,2.5616556974410463,guillen
spacer_module,0.249340759357083,7.589285800776038,guillen
spacer_system,0.2496338944605743,7.480644019382807,guillen
module_system,0.2619082688979157,2.931513299527261,guillen
spacer_module_system,0.2469901613615523,8.460464825506497,guillen
simulation,0.2745493445361849,0.0,schock
spacer,0.2537631433569825,7.571025607188369,schock
module,0.2682087508644068,2.309455038943795,schock
system,0.2696819475201933,1.7728678333632233,schock
spacer_module,0.2511406681949122,8.526218258076186,schock
spacer_system,0.2511732621799611,8.51434644497681,schock
module_system,0.2674271747088578,2.5941310620715847,schock
spacer_module_system,0.2504400988614789,8.781388903126112,schock
simulation,0.2528677842813518,0.0,dacosta
spacer,0.2446743739580885,3.2401954035184524,dacosta
module,0.2501361215242477,1.0802731415025795,dacosta
system,0.249527854593092,1.3208205615246145,dacosta
spacer_module,0.2443912271230575,3.3521696654180855,dacosta
spacer_system,0.2443870312284025,3.35382898895229,dacosta
module_system,0.2473910767258813,2.1658383929907425,dacosta
spacer_module_system,0.2435684402221238,3.67755192131599,dacosta
simulation,0.2685134533573782,0.0,koustou
spacer,0.2484380744453364,7.476489040317271,koustou
module,0.2627249155041105,2.155772003558964,koustou
system,0.2602195600381675,3.088818536094706,koustou
spacer_module,0.247804666375383,7.712383391990721,koustou
spacer_system,0.2477773222072057,7.722566929476614,koustou
module_system,0.2553732457367469,4.893686873537138,koustou
spacer_module_system,0.2460231747799666,8.375847949591613,koustou
simulation,0.2597031310366448,0.0,kuroda
spacer,0.2469117009495837,4.925404647992545,kuroda
module,0.25667533136483,1.1658695294619061,kuroda
system,0.2551322567377216,1.7600381946408665,kuroda
spacer_module,0.24636808237227,5.134727722051666,kuroda
spacer_system,0.2465175326212549,5.0771811501684825,kuroda
module_system,0.2510561169362618,3.329576376637089,kuroda
spacer_module_system,0.244891560024406,5.70327009655837,kuroda
