sh_multiplier,friction_factor_multiplier,LCOW_pct_change_avg
0.5,0.5,8.808612441594851
0.5,0.6,8.970225200293438
0.5,0.7,9.131768135974525
0.5,0.8,9.29322105511026
0.5,0.9,9.454587236970037
0.5,1.0,9.615903649338097
0.5,1.1,9.777088641442251
0.5,1.2,9.938206370345787
0.5,1.3,10.09927406636279
0.5,1.4,10.260193691252258
0.5,1.5,10.4211041786423
0.6,0.5,5.354403763746812
0.6,0.6,5.516574523931396
0.6,0.7,5.67863505713502
0.6,0.8,5.840605573793288
0.6,0.9,6.002468423287485
0.6,1.0,6.164279591806557
0.6,1.1,6.325961899878624
0.6,1.2,6.487574805237823
0.6,1.3,6.649097273747036
0.6,1.4,6.810512075092163
0.6,1.5,6.971858701508377
0.7,0.5,3.0449727571363603
0.7,0.6,3.2075528193958127
0.7,0.7,3.3700285124610545
0.7,0.8,3.5323996976794456
0.7,0.9,3.6947060426541825
0.7,1.0,3.856888895337702
0.7,1.1,4.019005417042074
0.7,1.2,4.18099779767847
0.7,1.3,4.342906215417462
0.7,1.4,4.50472724710374
0.7,1.5,4.666428278537165
0.8,0.5,1.3920305183743924
0.8,0.6,1.5549673553655141
0.8,0.7,1.7178087088599532
0.8,0.8,1.8805395813979455
0.8,0.9,2.043143663674848
0.8,1.0,2.205670362466995
0.8,1.1,2.368094113474093
0.8,1.2,2.5304324797313464
0.8,1.3,2.692663040171908
0.8,1.4,2.8547730902354855
0.8,1.5,3.0168123362269244
0.9,0.5,0.15052391327946915
0.9,0.6,0.3137161269535357
0.9,0.7,0.4768345873905554
0.9,0.8,0.6398363290175028
0.9,0.9,0.8027364186204421
0.9,1.0,0.9655647831418026
0.9,1.1,1.1282526284075067
0.9,1.2,1.2908476666654827
0.9,1.3,1.4533348570762885
0.9,1.4,1.6157157341983452
0.9,1.5,1.7780055256936464
1.0,0.5,-0.8162218820244449
1.0,0.6,-0.6527772480783106
1.0,0.7,-0.48941057706738267
1.0,0.8,-0.3261821744430896
1.0,0.9,-0.16303387426624633
1.0,1.0,0.0
1.0,1.1,0.1629130571147707
1.0,1.2,0.32572637900421897
1.0,1.3,0.48846189134570855
1.0,1.4,0.6510631222851665
1.0,1.5,0.8135632381773364
1.1,0.5,-1.5903184106318087
1.1,0.6,-1.4266708222696523
1.1,0.7,-1.2630999329108215
1.1,0.8,-1.0996587941447298
1.1,0.9,-0.9363214048844226
1.1,1.0,-0.7731006651078816
1.1,1.1,-0.609981535324875
1.1,1.2,-0.44697912435195813
1.1,1.3,-0.2840608028110992
1.1,1.4,-0.12126111687901606
1.1,1.5,0.04140428765105299
1.2,0.5,-2.2241515357324344
1.2,0.6,-2.0603041125556714
1.2,0.7,-1.8965754942895103
1.2,0.8,-1.7329657229644035
1.2,0.9,-1.5694536212120003
1.2,1.0,-1.4060622252542867
1.2,1.1,-1.2427686102260567
1.2,1.2,-1.0795935728615453
1.2,1.3,-0.9165216786997925
1.2,1.4,-0.7535712079925394
1.2,1.5,-0.590717573308096
1.3,0.5,-2.7526463633734317
1.3,0.6,-2.588659655572911
1.3,0.7,-2.4247875850152787
1.3,0.8,-2.2610172244266877
1.3,0.9,-2.0973697670900804
1.3,1.0,-1.933822060893379
1.3,1.1,-1.7703910621254806
1.3,1.2,-1.607080785066866
1.3,1.3,-1.4438682309926851
1.3,1.4,-1.2807764826887045
1.3,1.5,-1.1177804451282811
1.4,0.5,-3.2000884946099504
1.4,0.6,-3.035953047062316
1.4,0.7,-2.871955857139997
1.4,0.8,-2.7080603771867233
1.4,0.9,-2.544268646739236
1.4,1.0,-2.3805936816655993
1.4,1.1,-2.217039380356195
1.4,1.2,-2.0536059541433156
1.4,1.3,-1.8902743492562597
1.4,1.4,-1.7270614379230165
1.4,1.5,-1.563946138217427
1.5,0.5,-3.5837724375488356
1.5,0.6,-3.419529605585917
1.5,0.7,-3.255401955391192
1.5,0.8,-3.0913914229909287
1.5,0.9,-2.9274937680377584
1.5,1.0,-2.763709466648341
1.5,1.1,-2.600044280559653
1.5,1.2,-2.436499800265656
1.5,1.3,-2.273057199242533
1.5,1.4,-2.1097332338281776
1.5,1.5,-1.946529932178055
