modules_per_pv,n_pv,LCOW_pct_change_avg
3.0,150.0,61.080958986373176
3.0,160.0,55.37456825807518
3.0,170.0,49.742544552929004
3.0,180.0,44.752609098108124
3.0,190.0,40.30321531031151
3.0,200.0,36.313164241021305
3.0,210.0,32.716815976976534
4.0,150.0,33.88249101943209
4.0,160.0,29.171754683678312
4.0,170.0,25.042787044669886
4.0,180.0,21.398178034414485
4.0,190.0,18.160989962805672
4.0,200.0,15.269918440814541
4.0,210.0,12.675314808541762
5.0,150.0,17.996291399994565
5.0,160.0,14.291037747817006
5.0,170.0,11.058988271950742
5.0,180.0,8.220509047779634
5.0,190.0,5.712842002031421
5.0,200.0,3.4858792429852605
5.0,210.0,1.4991664689222615
6.0,150.0,7.959639108351537
6.0,160.0,4.925584534072444
6.0,170.0,2.2951697556493325
6.0,180.0,0.0
6.0,190.0,-2.0137456540462155
6.0,200.0,-3.78892646954817
6.0,210.0,-5.360205973440077
7.0,150.0,1.2145773928336265
7.0,160.0,-1.3364711252379755
7.0,170.0,-3.5316437805319305
7.0,180.0,-5.4317379933658225
7.0,190.0,-7.084472312534619
7.0,200.0,-8.527844234478401
7.0,210.0,-9.792493233709555
8.0,150.0,-3.494818555067975
8.0,160.0,-5.679463042969401
8.0,170.0,-7.542614093578521
8.0,180.0,-9.139663260902088
8.0,190.0,-10.514027880308047
8.0,200.0,-11.70025074388315
8.0,210.0,-12.726140268829337
9.0,150.0,-6.858315049293959
9.0,160.0,-8.75393069603605
9.0,170.0,-10.35363871276032
9.0,180.0,-11.708902686165965
9.0,190.0,-12.860030957532084
9.0,200.0,-13.839030441233003
9.0,210.0,-14.671648500721881
