# sh_multiplier,friction_factor_multiplier,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
5.000000e-01,5.000000e-01,3.693971e+00,5.000000e-01,5.000000e-01,9.608424e-01,7.907564e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,6.000000e-01,3.698838e+00,5.000000e-01,6.000000e-01,9.618412e-01,7.913718e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,7.000000e-01,3.703703e+00,5.000000e-01,7.000000e-01,9.628396e-01,7.919870e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,8.000000e-01,3.708566e+00,5.000000e-01,8.000000e-01,9.638375e-01,7.926019e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,9.000000e-01,3.713428e+00,5.000000e-01,9.000000e-01,9.648351e-01,7.932165e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.000000e+00,3.718287e+00,5.000000e-01,1.000000e+00,9.658323e-01,7.938309e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.100000e+00,3.723144e+00,5.000000e-01,1.100000e+00,9.668290e-01,7.944451e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.200000e+00,3.727999e+00,5.000000e-01,1.200000e+00,9.678254e-01,7.950590e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.300000e+00,3.732852e+00,5.000000e-01,1.300000e+00,9.688213e-01,7.956727e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.400000e+00,3.737704e+00,5.000000e-01,1.400000e+00,9.698169e-01,7.962861e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.500000e+00,3.742553e+00,5.000000e-01,1.500000e+00,9.708121e-01,7.968993e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,5.000000e-01,3.650302e+00,6.000000e-01,5.000000e-01,9.502513e-01,7.815027e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,6.000000e-01,3.655178e+00,6.000000e-01,6.000000e-01,9.512520e-01,7.821197e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,7.000000e-01,3.660051e+00,6.000000e-01,7.000000e-01,9.522523e-01,7.827364e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,8.000000e-01,3.664922e+00,6.000000e-01,8.000000e-01,9.532521e-01,7.833528e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,9.000000e-01,3.669791e+00,6.000000e-01,9.000000e-01,9.542516e-01,7.839690e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.000000e+00,3.674658e+00,6.000000e-01,1.000000e+00,9.552506e-01,7.845849e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.100000e+00,3.679523e+00,6.000000e-01,1.100000e+00,9.562492e-01,7.852006e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.200000e+00,3.684386e+00,6.000000e-01,1.200000e+00,9.572474e-01,7.858161e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.300000e+00,3.689247e+00,6.000000e-01,1.300000e+00,9.582451e-01,7.864312e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.400000e+00,3.694106e+00,6.000000e-01,1.400000e+00,9.592425e-01,7.870462e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.500000e+00,3.698963e+00,6.000000e-01,1.500000e+00,9.602395e-01,7.876608e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,5.000000e-01,3.619711e+00,7.000000e-01,5.000000e-01,9.428319e-01,7.750201e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,6.000000e-01,3.624592e+00,7.000000e-01,6.000000e-01,9.438339e-01,7.756382e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,7.000000e-01,3.629471e+00,7.000000e-01,7.000000e-01,9.448356e-01,7.762560e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,8.000000e-01,3.634348e+00,7.000000e-01,8.000000e-01,9.458368e-01,7.768736e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,9.000000e-01,3.639223e+00,7.000000e-01,9.000000e-01,9.468376e-01,7.774909e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.000000e+00,3.644096e+00,7.000000e-01,1.000000e+00,9.478380e-01,7.781080e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.100000e+00,3.648967e+00,7.000000e-01,1.100000e+00,9.488380e-01,7.787248e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.200000e+00,3.653835e+00,7.000000e-01,1.200000e+00,9.498375e-01,7.793413e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.300000e+00,3.658702e+00,7.000000e-01,1.300000e+00,9.508366e-01,7.799576e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.400000e+00,3.663567e+00,7.000000e-01,1.400000e+00,9.518353e-01,7.805737e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.500000e+00,3.668429e+00,7.000000e-01,1.500000e+00,9.528336e-01,7.811894e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,5.000000e-01,3.597088e+00,8.000000e-01,5.000000e-01,9.373451e-01,7.702261e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
