# modules_per_pv,n_pv,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
3.000000e+00,1.500000e+02,5.917758e+00,1.000000e+00,1.000000e+00,1.471628e+00,1.261026e+07,5.000000e-01,1.500000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
3.000000e+00,1.600000e+02,5.667526e+00,1.000000e+00,1.000000e+00,1.412424e+00,1.208334e+07,5.000000e-01,1.600000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
3.000000e+00,1.700000e+02,5.446926e+00,1.000000e+00,1.000000e+00,1.360384e+00,1.161868e+07,5.000000e-01,1.700000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
3.000000e+00,1.800000e+02,5.251016e+00,1.000000e+00,1.000000e+00,1.314313e+00,1.120591e+07,5.000000e-01,1.800000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
3.000000e+00,1.900000e+02,5.075893e+00,1.000000e+00,1.000000e+00,1.273269e+00,1.083686e+07,5.000000e-01,1.900000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
3.000000e+00,2.000000e+02,4.918438e+00,1.000000e+00,1.000000e+00,1.236498e+00,1.050496e+07,5.000000e-01,2.000000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
3.000000e+00,2.100000e+02,4.776125e+00,1.000000e+00,1.000000e+00,1.203389e+00,1.020493e+07,5.000000e-01,2.100000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
4.000000e+00,1.500000e+02,4.909702e+00,1.000000e+00,1.000000e+00,1.233430e+00,1.046473e+07,5.000000e-01,1.500000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
4.000000e+00,1.600000e+02,4.721461e+00,1.000000e+00,1.000000e+00,1.189754e+00,1.007023e+07,5.000000e-01,1.600000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
4.000000e+00,1.700000e+02,4.555751e+00,1.000000e+00,1.000000e+00,1.151511e+00,9.722767e+06,5.000000e-01,1.700000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
4.000000e+00,1.800000e+02,4.408798e+00,1.000000e+00,1.000000e+00,1.117794e+00,9.414501e+06,5.000000e-01,1.800000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
4.000000e+00,1.900000e+02,4.277629e+00,1.000000e+00,1.000000e+00,1.087884e+00,9.139232e+06,5.000000e-01,1.900000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
4.000000e+00,2.000000e+02,4.159866e+00,1.000000e+00,1.000000e+00,1.061211e+00,8.892006e+06,5.000000e-01,2.000000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
4.000000e+00,2.100000e+02,4.053588e+00,1.000000e+00,1.000000e+00,1.037309e+00,8.668815e+06,5.000000e-01,2.100000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
5.000000e+00,1.500000e+02,4.315161e+00,1.000000e+00,1.000000e+00,1.095529e+00,9.195604e+06,5.000000e-01,1.500000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
5.000000e+00,1.600000e+02,4.163836e+00,1.000000e+00,1.000000e+00,1.061299e+00,8.880384e+06,5.000000e-01,1.600000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
5.000000e+00,1.700000e+02,4.030868e+00,1.000000e+00,1.000000e+00,1.031482e+00,8.603191e+06,5.000000e-01,1.700000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
5.000000e+00,1.800000e+02,3.913168e+00,1.000000e+00,1.000000e+00,1.005338e+00,8.357660e+06,5.000000e-01,1.800000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e+00,1.900000e+02,3.808305e+00,1.000000e+00,1.000000e+00,9.822837e-01,8.138774e+06,5.000000e-01,1.900000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
5.000000e+00,2.000000e+02,3.714336e+00,1.000000e+00,1.000000e+00,9.618513e-01,7.942519e+06,5.000000e-01,2.000000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
