# sh_multiplier,friction_factor_multiplier,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
5.000000e-01,5.000000e-01,4.407088e+00,5.000000e-01,5.000000e-01,1.132948e+00,9.399299e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,6.000000e-01,4.416084e+00,5.000000e-01,6.000000e-01,1.134780e+00,9.410354e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,7.000000e-01,4.425078e+00,5.000000e-01,7.000000e-01,1.136612e+00,9.421406e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,8.000000e-01,4.434069e+00,5.000000e-01,8.000000e-01,1.138443e+00,9.432455e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,9.000000e-01,4.443057e+00,5.000000e-01,9.000000e-01,1.140274e+00,9.443501e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.000000e+00,4.452042e+00,5.000000e-01,1.000000e+00,1.142104e+00,9.454543e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.100000e+00,4.461025e+00,5.000000e-01,1.100000e+00,1.143933e+00,9.465583e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.200000e+00,4.470005e+00,5.000000e-01,1.200000e+00,1.145762e+00,9.476620e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.300000e+00,4.478982e+00,5.000000e-01,1.300000e+00,1.147591e+00,9.487654e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.400000e+00,4.487957e+00,5.000000e-01,1.400000e+00,1.149418e+00,9.498684e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.500000e+00,4.496929e+00,5.000000e-01,1.500000e+00,1.151246e+00,9.509712e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,5.000000e-01,4.218246e+00,6.000000e-01,5.000000e-01,1.087150e+00,8.999183e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,6.000000e-01,4.227264e+00,6.000000e-01,6.000000e-01,1.088988e+00,9.010285e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,7.000000e-01,4.236278e+00,6.000000e-01,7.000000e-01,1.090825e+00,9.021384e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,8.000000e-01,4.245289e+00,6.000000e-01,8.000000e-01,1.092661e+00,9.032479e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,9.000000e-01,4.254296e+00,6.000000e-01,9.000000e-01,1.094496e+00,9.043570e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.000000e+00,4.263301e+00,6.000000e-01,1.000000e+00,1.096331e+00,9.054658e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.100000e+00,4.272302e+00,6.000000e-01,1.100000e+00,1.098165e+00,9.065742e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.200000e+00,4.281300e+00,6.000000e-01,1.200000e+00,1.099999e+00,9.076823e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.300000e+00,4.290295e+00,6.000000e-01,1.300000e+00,1.101832e+00,9.087900e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.400000e+00,4.299287e+00,6.000000e-01,1.400000e+00,1.103664e+00,9.098973e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.500000e+00,4.308276e+00,6.000000e-01,1.500000e+00,1.105496e+00,9.110043e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,5.000000e-01,4.092424e+00,7.000000e-01,5.000000e-01,1.056636e+00,8.732587e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,6.000000e-01,4.101459e+00,7.000000e-01,6.000000e-01,1.058478e+00,8.743729e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,7.000000e-01,4.110490e+00,7.000000e-01,7.000000e-01,1.060319e+00,8.754867e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,8.000000e-01,4.119518e+00,7.000000e-01,8.000000e-01,1.062159e+00,8.766000e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,9.000000e-01,4.128543e+00,7.000000e-01,9.000000e-01,1.063999e+00,8.777130e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.000000e+00,4.137564e+00,7.000000e-01,1.000000e+00,1.065838e+00,8.788255e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
