# modules_per_pv,n_pv,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
3.000000e+00,1.500000e+02,6.773310e+00,1.000000e+00,1.000000e+00,1.678194e+00,1.440188e+07,5.000000e-01,1.500000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
3.000000e+00,1.600000e+02,6.474000e+00,1.000000e+00,1.000000e+00,1.607117e+00,1.377164e+07,5.000000e-01,1.600000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
3.000000e+00,1.700000e+02,6.210202e+00,1.000000e+00,1.000000e+00,1.544629e+00,1.321611e+07,5.000000e-01,1.700000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
3.000000e+00,1.800000e+02,5.975940e+00,1.000000e+00,1.000000e+00,1.489284e+00,1.272271e+07,5.000000e-01,1.800000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
3.000000e+00,1.900000e+02,5.766512e+00,1.000000e+00,1.000000e+00,1.439946e+00,1.228156e+07,5.000000e-01,1.900000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
3.000000e+00,2.000000e+02,5.578165e+00,1.000000e+00,1.000000e+00,1.395708e+00,1.188479e+07,5.000000e-01,2.000000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
3.000000e+00,2.100000e+02,5.407869e+00,1.000000e+00,1.000000e+00,1.355837e+00,1.152601e+07,5.000000e-01,2.100000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
4.000000e+00,1.500000e+02,5.509576e+00,1.000000e+00,1.000000e+00,1.377678e+00,1.170749e+07,5.000000e-01,1.500000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
4.000000e+00,1.600000e+02,5.289268e+00,1.000000e+00,1.000000e+00,1.326265e+00,1.124596e+07,5.000000e-01,1.600000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
4.000000e+00,1.700000e+02,5.095075e+00,1.000000e+00,1.000000e+00,1.281153e+00,1.083904e+07,5.000000e-01,1.700000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
4.000000e+00,1.800000e+02,4.922624e+00,1.000000e+00,1.000000e+00,1.241289e+00,1.047760e+07,5.000000e-01,1.800000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
4.000000e+00,1.900000e+02,4.768470e+00,1.000000e+00,1.000000e+00,1.205841e+00,1.015444e+07,5.000000e-01,1.900000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
4.000000e+00,2.000000e+02,4.629862e+00,1.000000e+00,1.000000e+00,1.174145e+00,9.863814e+06,5.000000e-01,2.000000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
4.000000e+00,2.100000e+02,4.504573e+00,1.000000e+00,1.000000e+00,1.145665e+00,9.601077e+06,5.000000e-01,2.100000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
5.000000e+00,1.500000e+02,4.784145e+00,1.000000e+00,1.000000e+00,1.207724e+00,1.015394e+07,5.000000e-01,1.500000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
5.000000e+00,1.600000e+02,4.608767e+00,1.000000e+00,1.000000e+00,1.167711e+00,9.788917e+06,5.000000e-01,1.600000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
5.000000e+00,1.700000e+02,4.454284e+00,1.000000e+00,1.000000e+00,1.132725e+00,9.467259e+06,5.000000e-01,1.700000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
5.000000e+00,1.800000e+02,4.317199e+00,1.000000e+00,1.000000e+00,1.101927e+00,9.181728e+06,5.000000e-01,1.800000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e+00,1.900000e+02,4.194756e+00,1.000000e+00,1.000000e+00,1.074653e+00,8.926617e+06,5.000000e-01,1.900000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
5.000000e+00,2.000000e+02,4.084753e+00,1.000000e+00,1.000000e+00,1.050375e+00,8.697361e+06,5.000000e-01,2.000000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
5.000000e+00,2.100000e+02,3.985408e+00,1.000000e+00,1.000000e+00,1.028663e+00,8.490269e+06,5.000000e-01,2.100000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
