# channel_height,spacer_porosity,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
5.842000e-04,7.500000e-01,3.751359e+00,1.000000e+00,1.000000e+00,9.694091e-01,7.771932e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,7.500000e-01,2.459483e-01
5.842000e-04,7.700000e-01,3.720663e+00,1.000000e+00,1.000000e+00,9.633753e-01,7.739196e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,7.700000e-01,2.395601e-01
5.842000e-04,7.900000e-01,3.694774e+00,1.000000e+00,1.000000e+00,9.583451e-01,7.712934e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,7.900000e-01,2.334953e-01
5.842000e-04,8.100000e-01,3.673174e+00,1.000000e+00,1.000000e+00,9.542139e-01,7.692521e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.100000e-01,2.277299e-01
5.842000e-04,8.300000e-01,3.655435e+00,1.000000e+00,1.000000e+00,9.508947e-01,7.677448e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.300000e-01,2.222425e-01
5.842000e-04,8.500000e-01,3.641199e+00,1.000000e+00,1.000000e+00,9.483165e-01,7.667306e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.500000e-01,2.170132e-01
5.842000e-04,8.700000e-01,3.630177e+00,1.000000e+00,1.000000e+00,9.464220e-01,7.661782e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.700000e-01,2.120244e-01
5.842000e-04,8.900000e-01,3.622141e+00,1.000000e+00,1.000000e+00,9.451673e-01,7.660652e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.900000e-01,2.072598e-01
5.842000e-04,9.100000e-01,3.616919e+00,1.000000e+00,1.000000e+00,9.445205e-01,7.663777e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,9.100000e-01,2.027047e-01
5.842000e-04,9.300000e-01,3.614396e+00,1.000000e+00,1.000000e+00,9.444622e-01,7.671109e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,9.300000e-01,1.983454e-01
5.842000e-04,9.500000e-01,3.614513e+00,1.000000e+00,1.000000e+00,9.449856e-01,7.682694e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,9.500000e-01,1.941697e-01
6.096000e-04,7.500000e-01,3.767830e+00,1.000000e+00,1.000000e+00,9.730388e-01,7.827976e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,7.500000e-01,2.414493e-01
6.096000e-04,7.700000e-01,3.740518e+00,1.000000e+00,1.000000e+00,9.677204e-01,7.800002e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,7.700000e-01,2.351779e-01
6.096000e-04,7.900000e-01,3.717715e+00,1.000000e+00,1.000000e+00,9.633454e-01,7.778140e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,7.900000e-01,2.292240e-01
6.096000e-04,8.100000e-01,3.698947e+00,1.000000e+00,1.000000e+00,9.598175e-01,7.761819e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.100000e-01,2.235641e-01
6.096000e-04,8.300000e-01,3.683819e+00,1.000000e+00,1.000000e+00,9.570576e-01,7.750580e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.300000e-01,2.181771e-01
6.096000e-04,8.500000e-01,3.672010e+00,1.000000e+00,1.000000e+00,9.550017e-01,7.744064e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.500000e-01,2.130435e-01
6.096000e-04,8.700000e-01,3.663260e+00,1.000000e+00,1.000000e+00,9.535990e-01,7.741998e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.700000e-01,2.081459e-01
6.096000e-04,8.900000e-01,3.657368e+00,1.000000e+00,1.000000e+00,9.528113e-01,7.744200e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.900000e-01,2.034685e-01
6.096000e-04,9.100000e-01,3.654190e+00,1.000000e+00,1.000000e+00,9.526128e-01,7.750571e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,9.100000e-01,1.989967e-01
6.096000e-04,9.300000e-01,3.653635e+00,1.000000e+00,1.000000e+00,9.529894e-01,7.761102e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,9.300000e-01,1.947172e-01
6.096000e-04,9.500000e-01,3.655669e+00,1.000000e+00,1.000000e+00,9.539399e-01,7.775881e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,9.500000e-01,1.906178e-01
6.350000e-04,7.500000e-01,3.787654e+00,1.000000e+00,1.000000e+00,9.774317e-01,7.888610e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,7.500000e-01,2.373101e-01
6.350000e-04,7.700000e-01,3.763395e+00,1.000000e+00,1.000000e+00,9.727609e-01,7.864978e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,7.700000e-01,2.311462e-01
6.350000e-04,7.900000e-01,3.743385e+00,1.000000e+00,1.000000e+00,9.689806e-01,7.847142e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,7.900000e-01,2.252944e-01
6.350000e-04,8.100000e-01,3.727188e+00,1.000000e+00,1.000000e+00,9.660027e-01,7.834585e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.100000e-01,2.197316e-01
6.350000e-04,8.300000e-01,3.714442e+00,1.000000e+00,1.000000e+00,9.637550e-01,7.826894e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.300000e-01,2.144369e-01
6.350000e-04,8.500000e-01,3.704856e+00,1.000000e+00,1.000000e+00,9.621798e-01,7.823750e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.500000e-01,2.093913e-01
6.350000e-04,8.700000e-01,3.698197e+00,1.000000e+00,1.000000e+00,9.612322e-01,7.824923e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.700000e-01,2.045777e-01
6.350000e-04,8.900000e-01,3.694292e+00,1.000000e+00,1.000000e+00,9.608798e-01,7.830267e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.900000e-01,1.999805e-01
6.350000e-04,9.100000e-01,3.693019e+00,1.000000e+00,1.000000e+00,9.611017e-01,7.839721e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,9.100000e-01,1.955853e-01
6.350000e-04,9.300000e-01,3.694312e+00,1.000000e+00,1.000000e+00,9.618893e-01,7.853315e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,9.300000e-01,1.913791e-01
6.350000e-04,9.500000e-01,3.698163e+00,1.000000e+00,1.000000e+00,9.632467e-01,7.871175e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,9.500000e-01,1.873501e-01
6.604000e-04,7.500000e-01,3.810345e+00,1.000000e+00,1.000000e+00,9.824831e-01,7.953195e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,7.500000e-01,2.334894e-01
6.604000e-04,7.700000e-01,3.788861e+00,1.000000e+00,1.000000e+00,9.784027e-01,7.933551e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,7.700000e-01,2.274247e-01
6.604000e-04,7.900000e-01,3.771398e+00,1.000000e+00,1.000000e+00,9.751667e-01,7.919432e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,7.900000e-01,2.216672e-01
6.604000e-04,8.100000e-01,3.757553e+00,1.000000e+00,1.000000e+00,9.726940e-01,7.910366e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,8.100000e-01,2.161939e-01
6.604000e-04,8.300000e-01,3.746996e+00,1.000000e+00,1.000000e+00,9.709192e-01,7.905983e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,8.300000e-01,2.109844e-01
6.604000e-04,8.500000e-01,3.739463e+00,1.000000e+00,1.000000e+00,9.697901e-01,7.906005e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,8.500000e-01,2.060201e-01
6.604000e-04,8.700000e-01,3.734747e+00,1.000000e+00,1.000000e+00,9.692676e-01,7.910237e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,8.700000e-01,2.012840e-01
6.604000e-04,8.900000e-01,3.732698e+00,1.000000e+00,1.000000e+00,9.693241e-01,7.918569e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,8.900000e-01,1.967607e-01
6.604000e-04,9.100000e-01,3.733219e+00,1.000000e+00,1.000000e+00,9.699439e-01,7.930978e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,9.100000e-01,1.924363e-01
6.604000e-04,9.300000e-01,3.736264e+00,1.000000e+00,1.000000e+00,9.711234e-01,7.947528e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,9.300000e-01,1.882979e-01
6.604000e-04,9.500000e-01,3.741848e+00,1.000000e+00,1.000000e+00,9.728718e-01,7.968385e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,9.500000e-01,1.843337e-01
6.858000e-04,7.500000e-01,3.835510e+00,1.000000e+00,1.000000e+00,9.881074e-01,8.021212e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,7.500000e-01,2.299517e-01
6.858000e-04,7.700000e-01,3.816564e+00,1.000000e+00,1.000000e+00,9.845690e-01,8.005258e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,7.700000e-01,2.239789e-01
6.858000e-04,7.900000e-01,3.801439e+00,1.000000e+00,1.000000e+00,9.818345e-01,7.994595e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,7.900000e-01,2.183086e-01
6.858000e-04,8.100000e-01,3.789762e+00,1.000000e+00,1.000000e+00,9.798296e-01,7.988792e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,8.100000e-01,2.129182e-01
6.858000e-04,8.300000e-01,3.781233e+00,1.000000e+00,1.000000e+00,9.784947e-01,7.987520e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,8.300000e-01,2.077877e-01
6.858000e-04,8.500000e-01,3.775611e+00,1.000000e+00,1.000000e+00,9.777831e-01,7.990535e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,8.500000e-01,2.028986e-01
6.858000e-04,8.700000e-01,3.772715e+00,1.000000e+00,1.000000e+00,9.776606e-01,7.997680e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,8.700000e-01,1.982342e-01
6.858000e-04,8.900000e-01,3.772415e+00,1.000000e+00,1.000000e+00,9.781046e-01,8.008878e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,8.900000e-01,1.937795e-01
6.858000e-04,9.100000e-01,3.774636e+00,1.000000e+00,1.000000e+00,9.791041e-01,8.024139e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,9.100000e-01,1.895206e-01
6.858000e-04,9.300000e-01,3.779355e+00,1.000000e+00,1.000000e+00,9.806602e-01,8.043563e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,9.300000e-01,1.854449e-01
6.858000e-04,9.500000e-01,3.786608e+00,1.000000e+00,1.000000e+00,9.827871e-01,8.067355e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,9.500000e-01,1.815408e-01
7.112000e-04,7.500000e-01,3.862823e+00,1.000000e+00,1.000000e+00,9.942340e-01,8.092232e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,7.500000e-01,2.266667e-01
7.112000e-04,7.700000e-01,3.846215e+00,1.000000e+00,1.000000e+00,9.911963e-01,8.079718e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,7.700000e-01,2.207792e-01
7.112000e-04,7.900000e-01,3.833251e+00,1.000000e+00,1.000000e+00,9.889273e-01,8.072290e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,7.900000e-01,2.151899e-01
7.112000e-04,8.100000e-01,3.823587e+00,1.000000e+00,1.000000e+00,9.873585e-01,8.069561e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.100000e-01,2.098765e-01
7.112000e-04,8.300000e-01,3.816948e+00,1.000000e+00,1.000000e+00,9.864358e-01,8.071234e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.300000e-01,2.048193e-01
7.112000e-04,8.500000e-01,3.813119e+00,1.000000e+00,1.000000e+00,9.861177e-01,8.077103e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.112000e-04,8.700000e-01,3.811939e+00,1.000000e+00,1.000000e+00,9.863746e-01,8.087041e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.700000e-01,1.954023e-01
7.112000e-04,8.900000e-01,3.813300e+00,1.000000e+00,1.000000e+00,9.871885e-01,8.101006e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.900000e-01,1.910112e-01
7.112000e-04,9.100000e-01,3.817146e+00,1.000000e+00,1.000000e+00,9.885529e-01,8.119039e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,9.100000e-01,1.868132e-01
7.112000e-04,9.300000e-01,3.823476e+00,1.000000e+00,1.000000e+00,9.904735e-01,8.141275e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,9.300000e-01,1.827957e-01
7.112000e-04,9.500000e-01,3.832348e+00,1.000000e+00,1.000000e+00,9.929694e-01,8.167959e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,9.500000e-01,1.789474e-01
7.366000e-04,7.500000e-01,3.892018e+00,1.000000e+00,1.000000e+00,1.000804e+00,8.165903e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,7.500000e-01,2.236082e-01
7.366000e-04,7.700000e-01,3.877575e+00,1.000000e+00,1.000000e+00,9.982320e-01,8.156615e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,7.700000e-01,2.178002e-01
7.366000e-04,7.900000e-01,3.866621e+00,1.000000e+00,1.000000e+00,9.963978e-01,8.152239e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,7.900000e-01,2.122863e-01
7.366000e-04,8.100000e-01,3.858838e+00,1.000000e+00,1.000000e+00,9.952383e-01,8.152422e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,8.100000e-01,2.070446e-01
7.366000e-04,8.300000e-01,3.853975e+00,1.000000e+00,1.000000e+00,9.947047e-01,8.156904e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,8.300000e-01,2.020556e-01
7.366000e-04,8.500000e-01,3.851838e+00,1.000000e+00,1.000000e+00,9.947600e-01,8.165511e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,8.500000e-01,1.973013e-01
7.366000e-04,8.700000e-01,3.852288e+00,1.000000e+00,1.000000e+00,9.953792e-01,8.178146e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,8.700000e-01,1.927657e-01
7.366000e-04,8.900000e-01,3.855237e+00,1.000000e+00,1.000000e+00,9.965486e-01,8.194799e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,8.900000e-01,1.884339e-01
7.366000e-04,9.100000e-01,3.860647e+00,1.000000e+00,1.000000e+00,9.982660e-01,8.215542e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,9.100000e-01,1.842925e-01
7.366000e-04,9.300000e-01,3.868539e+00,1.000000e+00,1.000000e+00,1.000542e+00,8.240547e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,9.300000e-01,1.803292e-01
7.366000e-04,9.500000e-01,3.878990e+00,1.000000e+00,1.000000e+00,1.003399e+00,8.270094e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.366000e-04,9.500000e-01,1.765328e-01
7.620000e-04,7.500000e-01,3.922870e+00,1.000000e+00,1.000000e+00,1.007768e+00,8.241931e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.620000e-04,7.500000e-01,2.207536e-01
