# modules_per_pv,n_pv,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
3.000000e+00,1.500000e+02,6.341407e+00,1.000000e+00,1.000000e+00,1.572354e+00,1.346170e+07,5.000000e-01,1.500000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
3.000000e+00,1.600000e+02,6.073519e+00,1.000000e+00,1.000000e+00,1.509108e+00,1.290286e+07,5.000000e-01,1.600000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
3.000000e+00,1.700000e+02,5.837369e+00,1.000000e+00,1.000000e+00,1.453496e+00,1.240982e+07,5.000000e-01,1.700000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
3.000000e+00,1.800000e+02,5.627633e+00,1.000000e+00,1.000000e+00,1.404240e+00,1.197160e+07,5.000000e-01,1.800000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
3.000000e+00,1.900000e+02,5.440116e+00,1.000000e+00,1.000000e+00,1.360332e+00,1.157954e+07,5.000000e-01,1.900000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
3.000000e+00,2.000000e+02,5.271466e+00,1.000000e+00,1.000000e+00,1.320968e+00,1.122672e+07,5.000000e-01,2.000000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
3.000000e+00,2.100000e+02,5.118978e+00,1.000000e+00,1.000000e+00,1.285497e+00,1.090754e+07,5.000000e-01,2.100000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
4.000000e+00,1.500000e+02,5.241011e+00,1.000000e+00,1.000000e+00,1.311118e+00,1.110577e+07,5.000000e-01,1.500000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
4.000000e+00,1.600000e+02,5.036862e+00,1.000000e+00,1.000000e+00,1.263901e+00,1.068483e+07,5.000000e-01,1.600000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
4.000000e+00,1.700000e+02,4.857295e+00,1.000000e+00,1.000000e+00,1.222562e+00,1.031406e+07,5.000000e-01,1.700000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
4.000000e+00,1.800000e+02,4.698145e+00,1.000000e+00,1.000000e+00,1.186109e+00,9.985036e+06,5.000000e-01,1.800000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
4.000000e+00,1.900000e+02,4.556140e+00,1.000000e+00,1.000000e+00,1.153760e+00,9.691121e+06,5.000000e-01,1.900000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
4.000000e+00,2.000000e+02,4.428669e+00,1.000000e+00,1.000000e+00,1.124893e+00,9.427019e+06,5.000000e-01,2.000000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
4.000000e+00,2.100000e+02,4.313629e+00,1.000000e+00,1.000000e+00,1.099006e+00,9.188448e+06,5.000000e-01,2.100000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
5.000000e+00,1.500000e+02,4.603459e+00,1.000000e+00,1.000000e+00,1.162160e+00,9.731176e+06,5.000000e-01,1.500000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
5.000000e+00,1.600000e+02,4.436058e+00,1.000000e+00,1.000000e+00,1.124425e+00,9.390907e+06,5.000000e-01,1.600000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
5.000000e+00,1.700000e+02,4.289211e+00,1.000000e+00,1.000000e+00,1.091569e+00,9.091803e+06,5.000000e-01,1.700000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
5.000000e+00,1.800000e+02,4.159395e+00,1.000000e+00,1.000000e+00,1.062762e+00,8.826902e+06,5.000000e-01,1.800000e+02,5.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e+00,1.900000e+02,4.043849e+00,1.000000e+00,1.000000e+00,1.037350e+00,8.590726e+06,5.000000e-01,1.900000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
5.000000e+00,2.000000e+02,3.940376e+00,1.000000e+00,1.000000e+00,1.014813e+00,8.378909e+06,5.000000e-01,2.000000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
5.000000e+00,2.100000e+02,3.847209e+00,1.000000e+00,1.000000e+00,9.947308e-01,8.187926e+06,5.000000e-01,2.100000e+02,5.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
6.000000e+00,1.500000e+02,4.193819e+00,1.000000e+00,1.000000e+00,1.068505e+00,8.840149e+06,5.000000e-01,1.500000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
6.000000e+00,1.600000e+02,4.049906e+00,1.000000e+00,1.000000e+00,1.037032e+00,8.552396e+06,5.000000e-01,1.600000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
6.000000e+00,1.700000e+02,3.924051e+00,1.000000e+00,1.000000e+00,1.009814e+00,8.300063e+06,5.000000e-01,1.700000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
6.000000e+00,1.800000e+02,3.813119e+00,1.000000e+00,1.000000e+00,9.861177e-01,8.077103e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e+00,1.900000e+02,3.714660e+00,1.000000e+00,1.000000e+00,9.653676e-01,7.878772e+06,5.000000e-01,1.900000e+02,6.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
6.000000e+00,2.000000e+02,3.626729e+00,1.000000e+00,1.000000e+00,9.471073e-01,7.701292e+06,5.000000e-01,2.000000e+02,6.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
6.000000e+00,2.100000e+02,3.547766e+00,1.000000e+00,1.000000e+00,9.309697e-01,7.541620e+06,5.000000e-01,2.100000e+02,6.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
7.000000e+00,1.500000e+02,3.913097e+00,1.000000e+00,1.000000e+00,1.006143e+00,8.222939e+06,5.000000e-01,1.500000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
7.000000e+00,1.600000e+02,3.785181e+00,1.000000e+00,1.000000e+00,9.791136e-01,7.971770e+06,5.000000e-01,1.600000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
7.000000e+00,1.700000e+02,3.673687e+00,1.000000e+00,1.000000e+00,9.559234e-01,7.752107e+06,5.000000e-01,1.700000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
7.000000e+00,1.800000e+02,3.575727e+00,1.000000e+00,1.000000e+00,9.359018e-01,7.558519e+06,5.000000e-01,1.800000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e+00,1.900000e+02,3.489047e+00,1.000000e+00,1.000000e+00,9.185251e-01,7.386751e+06,5.000000e-01,1.900000e+02,7.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
7.000000e+00,2.000000e+02,3.411867e+00,1.000000e+00,1.000000e+00,9.033785e-01,7.233423e+06,5.000000e-01,2.000000e+02,7.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
7.000000e+00,2.100000e+02,3.342758e+00,1.000000e+00,1.000000e+00,8.901290e-01,7.095815e+06,5.000000e-01,2.100000e+02,7.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
8.000000e+00,1.500000e+02,3.712289e+00,1.000000e+00,1.000000e+00,9.631910e-01,7.775713e+06,5.000000e-01,1.500000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
8.000000e+00,1.600000e+02,3.595727e+00,1.000000e+00,1.000000e+00,9.394765e-01,7.551229e+06,5.000000e-01,1.600000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
8.000000e+00,1.700000e+02,3.494480e+00,1.000000e+00,1.000000e+00,9.193136e-01,7.355467e+06,5.000000e-01,1.700000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
8.000000e+00,1.800000e+02,3.405819e+00,1.000000e+00,1.000000e+00,9.020741e-01,7.183424e+06,5.000000e-01,1.800000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e+00,1.900000e+02,3.327619e+00,1.000000e+00,1.000000e+00,8.872687e-01,7.031186e+06,5.000000e-01,1.900000e+02,8.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
8.000000e+00,2.000000e+02,3.258203e+00,1.000000e+00,1.000000e+00,8.745103e-01,6.895650e+06,5.000000e-01,2.000000e+02,8.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
8.000000e+00,2.100000e+02,3.196233e+00,1.000000e+00,1.000000e+00,8.634890e-01,6.774323e+06,5.000000e-01,2.100000e+02,8.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
9.000000e+00,1.500000e+02,3.564342e+00,1.000000e+00,1.000000e+00,9.330875e-01,7.441147e+06,5.000000e-01,1.500000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
9.000000e+00,1.600000e+02,3.456058e+00,1.000000e+00,1.000000e+00,9.119393e-01,7.236767e+06,5.000000e-01,1.600000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
9.000000e+00,1.700000e+02,3.362330e+00,1.000000e+00,1.000000e+00,8.941393e-01,7.059068e+06,5.000000e-01,1.700000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
9.000000e+00,1.800000e+02,3.280525e+00,1.000000e+00,1.000000e+00,8.790878e-01,6.903349e+06,5.000000e-01,1.800000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e+00,1.900000e+02,3.208605e+00,1.000000e+00,1.000000e+00,8.663183e-01,6.765940e+06,5.000000e-01,1.900000e+02,9.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
9.000000e+00,2.000000e+02,3.144960e+00,1.000000e+00,1.000000e+00,8.554628e-01,6.643934e+06,5.000000e-01,2.000000e+02,9.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
9.000000e+00,2.100000e+02,3.088309e+00,1.000000e+00,1.000000e+00,8.462272e-01,6.535001e+06,5.000000e-01,2.100000e+02,9.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
