# channel_height,spacer_porosity,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
5.842000e-04,7.500000e-01,3.586979e+00,1.000000e+00,1.000000e+00,9.346413e-01,7.540384e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,7.500000e-01,2.459483e-01
5.842000e-04,7.700000e-01,3.571011e+00,1.000000e+00,1.000000e+00,9.316099e-01,7.525814e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,7.700000e-01,2.395601e-01
5.842000e-04,7.900000e-01,3.558126e+00,1.000000e+00,1.000000e+00,9.292270e-01,7.515505e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,7.900000e-01,2.334953e-01
5.842000e-04,8.100000e-01,3.548019e+00,1.000000e+00,1.000000e+00,9.274313e-01,7.509102e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.100000e-01,2.277299e-01
5.842000e-04,8.300000e-01,3.540439e+00,1.000000e+00,1.000000e+00,9.261733e-01,7.506329e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.300000e-01,2.222425e-01
5.842000e-04,8.500000e-01,3.535191e+00,1.000000e+00,1.000000e+00,9.254148e-01,7.506985e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.500000e-01,2.170132e-01
5.842000e-04,8.700000e-01,3.532124e+00,1.000000e+00,1.000000e+00,9.251273e-01,7.510937e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.700000e-01,2.120244e-01
5.842000e-04,8.900000e-01,3.531132e+00,1.000000e+00,1.000000e+00,9.252921e-01,7.518120e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.900000e-01,2.072598e-01
5.842000e-04,9.100000e-01,3.532152e+00,1.000000e+00,1.000000e+00,9.259000e-01,7.528539e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,9.100000e-01,2.027047e-01
5.842000e-04,9.300000e-01,3.535165e+00,1.000000e+00,1.000000e+00,9.269518e-01,7.542276e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,9.300000e-01,1.983454e-01
5.842000e-04,9.500000e-01,3.540201e+00,1.000000e+00,1.000000e+00,9.284592e-01,7.559497e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,9.500000e-01,1.941697e-01
6.096000e-04,7.500000e-01,3.612469e+00,1.000000e+00,1.000000e+00,9.400863e-01,7.607022e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,7.500000e-01,2.414493e-01
6.096000e-04,7.700000e-01,3.598728e+00,1.000000e+00,1.000000e+00,9.375301e-01,7.595682e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,7.700000e-01,2.351779e-01
6.096000e-04,7.900000e-01,3.587889e+00,1.000000e+00,1.000000e+00,9.355857e-01,7.588388e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,7.900000e-01,2.292240e-01
6.096000e-04,8.100000e-01,3.579673e+00,1.000000e+00,1.000000e+00,9.341979e-01,7.584826e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.100000e-01,2.235641e-01
6.096000e-04,8.300000e-01,3.573859e+00,1.000000e+00,1.000000e+00,9.333227e-01,7.584756e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.300000e-01,2.181771e-01
6.096000e-04,8.500000e-01,3.570273e+00,1.000000e+00,1.000000e+00,9.329269e-01,7.588013e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.500000e-01,2.130435e-01
6.096000e-04,8.700000e-01,3.568785e+00,1.000000e+00,1.000000e+00,9.329868e-01,7.594493e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.700000e-01,2.081459e-01
6.096000e-04,8.900000e-01,3.569311e+00,1.000000e+00,1.000000e+00,9.334881e-01,7.604166e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.900000e-01,2.034685e-01
6.096000e-04,9.100000e-01,3.571808e+00,1.000000e+00,1.000000e+00,9.344259e-01,7.617067e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,9.100000e-01,1.989967e-01
6.096000e-04,9.300000e-01,3.576277e+00,1.000000e+00,1.000000e+00,9.358055e-01,7.633310e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,9.300000e-01,1.947172e-01
6.096000e-04,9.500000e-01,3.582767e+00,1.000000e+00,1.000000e+00,9.376431e-01,7.653098e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,9.500000e-01,1.906178e-01
6.350000e-04,7.500000e-01,3.640097e+00,1.000000e+00,1.000000e+00,9.460431e-01,7.676660e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,7.500000e-01,2.373101e-01
6.350000e-04,7.700000e-01,3.628377e+00,1.000000e+00,1.000000e+00,9.439197e-01,7.668290e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,7.700000e-01,2.311462e-01
6.350000e-04,7.900000e-01,3.619402e+00,1.000000e+00,1.000000e+00,9.423767e-01,7.663785e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,7.900000e-01,2.252944e-01
6.350000e-04,8.100000e-01,3.612920e+00,1.000000e+00,1.000000e+00,9.413644e-01,7.662868e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.100000e-01,2.197316e-01
6.350000e-04,8.300000e-01,3.608732e+00,1.000000e+00,1.000000e+00,9.408439e-01,7.665334e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.300000e-01,2.144369e-01
6.350000e-04,8.500000e-01,3.606687e+00,1.000000e+00,1.000000e+00,9.407864e-01,7.671046e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.500000e-01,2.093913e-01
6.350000e-04,8.700000e-01,3.606674e+00,1.000000e+00,1.000000e+00,9.411727e-01,7.679934e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.700000e-01,2.045777e-01
6.350000e-04,8.900000e-01,3.608629e+00,1.000000e+00,1.000000e+00,9.419926e-01,7.691994e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.900000e-01,1.999805e-01
6.350000e-04,9.100000e-01,3.612527e+00,1.000000e+00,1.000000e+00,9.432453e-01,7.707294e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,9.100000e-01,1.955853e-01
6.350000e-04,9.300000e-01,3.618388e+00,1.000000e+00,1.000000e+00,9.449403e-01,7.725979e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,9.300000e-01,1.913791e-01
6.350000e-04,9.500000e-01,3.626281e+00,1.000000e+00,1.000000e+00,9.470984e-01,7.748287e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,9.500000e-01,1.873501e-01
6.604000e-04,7.500000e-01,3.669561e+00,1.000000e+00,1.000000e+00,9.524446e-01,7.748899e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,7.500000e-01,2.334894e-01
6.604000e-04,7.700000e-01,3.659690e+00,1.000000e+00,1.000000e+00,9.507187e-01,7.743282e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,7.700000e-01,2.274247e-01
6.604000e-04,7.900000e-01,3.652428e+00,1.000000e+00,1.000000e+00,9.495464e-01,7.741381e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,7.900000e-01,2.216672e-01
