# modules_per_pv,n_pv,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
3.000000e+00,1.500000e+02,6.214398e+00,1.000000e+00,1.000000e+00,1.543033e+00,1.322651e+07,5.000000e-01,1.500000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
3.000000e+00,1.600000e+02,5.951523e+00,1.000000e+00,1.000000e+00,1.480825e+00,1.267421e+07,5.000000e-01,1.600000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
3.000000e+00,1.700000e+02,5.719654e+00,1.000000e+00,1.000000e+00,1.426103e+00,1.218685e+07,5.000000e-01,1.700000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
3.000000e+00,1.800000e+02,5.513619e+00,1.000000e+00,1.000000e+00,1.377620e+00,1.175363e+07,5.000000e-01,1.800000e+02,3.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
3.000000e+00,1.900000e+02,5.329336e+00,1.000000e+00,1.000000e+00,1.334392e+00,1.136602e+07,5.000000e-01,1.900000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
3.000000e+00,2.000000e+02,5.163543e+00,1.000000e+00,1.000000e+00,1.295630e+00,1.101719e+07,5.000000e-01,2.000000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
3.000000e+00,2.100000e+02,5.013598e+00,1.000000e+00,1.000000e+00,1.260698e+00,1.070161e+07,5.000000e-01,2.100000e+02,3.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
4.000000e+00,1.500000e+02,5.128345e+00,1.000000e+00,1.000000e+00,1.285746e+00,1.091175e+07,5.000000e-01,1.500000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
4.000000e+00,1.600000e+02,4.930469e+00,1.000000e+00,1.000000e+00,1.239815e+00,1.049871e+07,5.000000e-01,1.600000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
4.000000e+00,1.700000e+02,4.756190e+00,1.000000e+00,1.000000e+00,1.199563e+00,1.013466e+07,5.000000e-01,1.700000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
4.000000e+00,1.800000e+02,4.601554e+00,1.000000e+00,1.000000e+00,1.164040e+00,9.811441e+06,5.000000e-01,1.800000e+02,4.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
4.000000e+00,1.900000e+02,4.463443e+00,1.000000e+00,1.000000e+00,1.132496e+00,9.522588e+06,5.000000e-01,1.900000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
4.000000e+00,2.000000e+02,4.339365e+00,1.000000e+00,1.000000e+00,1.104333e+00,9.262949e+06,5.000000e-01,2.000000e+02,4.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
