# channel_height,spacer_porosity,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
5.842000e-04,7.500000e-01,3.830614e+00,1.000000e+00,1.000000e+00,9.936884e-01,8.055700e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,7.500000e-01,2.459483e-01
5.842000e-04,7.700000e-01,3.820750e+00,1.000000e+00,1.000000e+00,9.921670e-01,8.054744e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,7.700000e-01,2.395601e-01
5.842000e-04,7.900000e-01,3.814025e+00,1.000000e+00,1.000000e+00,9.913020e-01,8.058033e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,7.900000e-01,2.334953e-01
5.842000e-04,8.100000e-01,3.810093e+00,1.000000e+00,1.000000e+00,9.910229e-01,8.065149e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.100000e-01,2.277299e-01
5.842000e-04,8.300000e-01,3.808664e+00,1.000000e+00,1.000000e+00,9.912712e-01,8.075745e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.300000e-01,2.222425e-01
5.842000e-04,8.500000e-01,3.809497e+00,1.000000e+00,1.000000e+00,9.919989e-01,8.089546e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.500000e-01,2.170132e-01
5.842000e-04,8.700000e-01,3.812398e+00,1.000000e+00,1.000000e+00,9.931670e-01,8.106334e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.700000e-01,2.120244e-01
5.842000e-04,8.900000e-01,3.817207e+00,1.000000e+00,1.000000e+00,9.947447e-01,8.125945e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,8.900000e-01,2.072598e-01
5.842000e-04,9.100000e-01,3.823802e+00,1.000000e+00,1.000000e+00,9.967086e-01,8.148265e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,9.100000e-01,2.027047e-01
5.842000e-04,9.300000e-01,3.832093e+00,1.000000e+00,1.000000e+00,9.990424e-01,8.173230e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,9.300000e-01,1.983454e-01
5.842000e-04,9.500000e-01,3.842020e+00,1.000000e+00,1.000000e+00,1.001737e+00,8.200827e+06,5.000000e-01,1.800000e+02,6.000000e+00,5.842000e-04,9.500000e-01,1.941697e-01
6.096000e-04,7.500000e-01,3.867706e+00,1.000000e+00,1.000000e+00,1.001969e+00,8.147421e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,7.500000e-01,2.414493e-01
6.096000e-04,7.700000e-01,3.860525e+00,1.000000e+00,1.000000e+00,1.001029e+00,8.150554e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,7.700000e-01,2.351779e-01
6.096000e-04,7.900000e-01,3.856281e+00,1.000000e+00,1.000000e+00,1.000704e+00,8.157690e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,7.900000e-01,2.292240e-01
6.096000e-04,8.100000e-01,3.854656e+00,1.000000e+00,1.000000e+00,1.000930e+00,8.168451e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.100000e-01,2.235641e-01
6.096000e-04,8.300000e-01,3.855388e+00,1.000000e+00,1.000000e+00,1.001654e+00,8.182528e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.300000e-01,2.181771e-01
6.096000e-04,8.500000e-01,3.858261e+00,1.000000e+00,1.000000e+00,1.002834e+00,8.199678e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.500000e-01,2.130435e-01
6.096000e-04,8.700000e-01,3.863099e+00,1.000000e+00,1.000000e+00,1.004435e+00,8.219710e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.700000e-01,2.081459e-01
6.096000e-04,8.900000e-01,3.869764e+00,1.000000e+00,1.000000e+00,1.006429e+00,8.242489e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,8.900000e-01,2.034685e-01
6.096000e-04,9.100000e-01,3.878150e+00,1.000000e+00,1.000000e+00,1.008798e+00,8.267926e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,9.100000e-01,1.989967e-01
6.096000e-04,9.300000e-01,3.888183e+00,1.000000e+00,1.000000e+00,1.011528e+00,8.295982e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,9.300000e-01,1.947172e-01
6.096000e-04,9.500000e-01,3.899820e+00,1.000000e+00,1.000000e+00,1.014613e+00,8.326667e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.096000e-04,9.500000e-01,1.906178e-01
6.350000e-04,7.500000e-01,3.907115e+00,1.000000e+00,1.000000e+00,1.010801e+00,8.242436e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,7.500000e-01,2.373101e-01
6.350000e-04,7.700000e-01,3.902401e+00,1.000000e+00,1.000000e+00,1.010398e+00,8.249393e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,7.700000e-01,2.311462e-01
6.350000e-04,7.900000e-01,3.900449e+00,1.000000e+00,1.000000e+00,1.010575e+00,8.260149e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,7.900000e-01,2.252944e-01
6.350000e-04,8.100000e-01,3.900968e+00,1.000000e+00,1.000000e+00,1.011273e+00,8.274361e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.100000e-01,2.197316e-01
6.350000e-04,8.300000e-01,3.903720e+00,1.000000e+00,1.000000e+00,1.012445e+00,8.291755e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.300000e-01,2.144369e-01
6.350000e-04,8.500000e-01,3.908511e+00,1.000000e+00,1.000000e+00,1.014053e+00,8.312114e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.500000e-01,2.093913e-01
6.350000e-04,8.700000e-01,3.915183e+00,1.000000e+00,1.000000e+00,1.016065e+00,8.335277e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.700000e-01,2.045777e-01
6.350000e-04,8.900000e-01,3.923615e+00,1.000000e+00,1.000000e+00,1.018459e+00,8.361131e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,8.900000e-01,1.999805e-01
6.350000e-04,9.100000e-01,3.933718e+00,1.000000e+00,1.000000e+00,1.021218e+00,8.389613e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,9.100000e-01,1.955853e-01
6.350000e-04,9.300000e-01,3.945432e+00,1.000000e+00,1.000000e+00,1.024333e+00,8.420704e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,9.300000e-01,1.913791e-01
6.350000e-04,9.500000e-01,3.958729e+00,1.000000e+00,1.000000e+00,1.027801e+00,8.454439e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.350000e-04,9.500000e-01,1.873501e-01
6.604000e-04,7.500000e-01,3.948526e+00,1.000000e+00,1.000000e+00,1.020115e+00,8.340333e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,7.500000e-01,2.334894e-01
6.604000e-04,7.700000e-01,3.946100e+00,1.000000e+00,1.000000e+00,1.020213e+00,8.350899e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,7.700000e-01,2.274247e-01
6.604000e-04,7.900000e-01,3.946285e+00,1.000000e+00,1.000000e+00,1.020860e+00,8.365090e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,7.900000e-01,2.216672e-01
6.604000e-04,8.100000e-01,3.948814e+00,1.000000e+00,1.000000e+00,1.022004e+00,8.382598e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,8.100000e-01,2.161939e-01
6.604000e-04,8.300000e-01,3.953471e+00,1.000000e+00,1.000000e+00,1.023601e+00,8.403178e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,8.300000e-01,2.109844e-01
6.604000e-04,8.500000e-01,3.960081e+00,1.000000e+00,1.000000e+00,1.025617e+00,8.426639e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,8.500000e-01,2.060201e-01
6.604000e-04,8.700000e-01,3.968503e+00,1.000000e+00,1.000000e+00,1.028025e+00,8.452846e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,8.700000e-01,2.012840e-01
6.604000e-04,8.900000e-01,3.978634e+00,1.000000e+00,1.000000e+00,1.030804e+00,8.481708e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,8.900000e-01,1.967607e-01
6.604000e-04,9.100000e-01,3.990396e+00,1.000000e+00,1.000000e+00,1.033943e+00,8.513183e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,9.100000e-01,1.924363e-01
6.604000e-04,9.300000e-01,4.003746e+00,1.000000e+00,1.000000e+00,1.037434e+00,8.547276e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,9.300000e-01,1.882979e-01
6.604000e-04,9.500000e-01,4.018668e+00,1.000000e+00,1.000000e+00,1.041278e+00,8.584042e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.604000e-04,9.500000e-01,1.843337e-01
6.858000e-04,7.500000e-01,3.991683e+00,1.000000e+00,1.000000e+00,1.029854e+00,8.440781e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,7.500000e-01,2.299517e-01
6.858000e-04,7.700000e-01,3.991397e+00,1.000000e+00,1.000000e+00,1.030423e+00,8.454778e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,7.700000e-01,2.239789e-01
6.858000e-04,7.900000e-01,3.993590e+00,1.000000e+00,1.000000e+00,1.031515e+00,8.472257e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,7.900000e-01,2.183086e-01
6.858000e-04,8.100000e-01,3.998020e+00,1.000000e+00,1.000000e+00,1.033082e+00,8.492937e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,8.100000e-01,2.129182e-01
6.858000e-04,8.300000e-01,4.004488e+00,1.000000e+00,1.000000e+00,1.035086e+00,8.516600e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,8.300000e-01,2.077877e-01
6.858000e-04,8.500000e-01,4.012838e+00,1.000000e+00,1.000000e+00,1.037495e+00,8.543082e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,8.500000e-01,2.028986e-01
6.858000e-04,8.700000e-01,4.022946e+00,1.000000e+00,1.000000e+00,1.040285e+00,8.572267e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,8.700000e-01,1.982342e-01
6.858000e-04,8.900000e-01,4.034720e+00,1.000000e+00,1.000000e+00,1.043441e+00,8.604089e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,8.900000e-01,1.937795e-01
6.858000e-04,9.100000e-01,4.048099e+00,1.000000e+00,1.000000e+00,1.046951e+00,8.638525e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,9.100000e-01,1.895206e-01
6.858000e-04,9.300000e-01,4.063051e+00,1.000000e+00,1.000000e+00,1.050813e+00,8.675602e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,9.300000e-01,1.854449e-01
6.858000e-04,9.500000e-01,4.079574e+00,1.000000e+00,1.000000e+00,1.055029e+00,8.715395e+06,5.000000e-01,1.800000e+02,6.000000e+00,6.858000e-04,9.500000e-01,1.815408e-01
7.112000e-04,7.500000e-01,4.036380e+00,1.000000e+00,1.000000e+00,1.039973e+00,8.543508e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,7.500000e-01,2.266667e-01
7.112000e-04,7.700000e-01,4.038110e+00,1.000000e+00,1.000000e+00,1.040987e+00,8.560794e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,7.700000e-01,2.207792e-01
7.112000e-04,7.900000e-01,4.042205e+00,1.000000e+00,1.000000e+00,1.042503e+00,8.581440e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,7.900000e-01,2.151899e-01
