# sh_multiplier,friction_factor_multiplier,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
5.000000e-01,5.000000e-01,4.812316e+00,5.000000e-01,5.000000e-01,1.231742e+00,1.026977e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,6.000000e-01,4.818761e+00,5.000000e-01,6.000000e-01,1.233059e+00,1.027778e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,7.000000e-01,4.825205e+00,5.000000e-01,7.000000e-01,1.234376e+00,1.028579e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,8.000000e-01,4.831646e+00,5.000000e-01,8.000000e-01,1.235692e+00,1.029380e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,9.000000e-01,4.838086e+00,5.000000e-01,9.000000e-01,1.237007e+00,1.030181e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.000000e+00,4.844525e+00,5.000000e-01,1.000000e+00,1.238323e+00,1.030982e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.100000e+00,4.850962e+00,5.000000e-01,1.100000e+00,1.239638e+00,1.031782e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.200000e+00,4.857397e+00,5.000000e-01,1.200000e+00,1.240953e+00,1.032583e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.300000e+00,4.863830e+00,5.000000e-01,1.300000e+00,1.242267e+00,1.033383e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.400000e+00,4.870262e+00,5.000000e-01,1.400000e+00,1.243581e+00,1.034183e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
5.000000e-01,1.500000e+00,4.876692e+00,5.000000e-01,1.500000e+00,1.244895e+00,1.034983e+07,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,5.000000e-01,4.525228e+00,6.000000e-01,5.000000e-01,1.162115e+00,9.661418e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,6.000000e-01,4.531705e+00,6.000000e-01,6.000000e-01,1.163439e+00,9.669492e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,7.000000e-01,4.538181e+00,6.000000e-01,7.000000e-01,1.164763e+00,9.677563e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,8.000000e-01,4.544654e+00,6.000000e-01,8.000000e-01,1.166086e+00,9.685632e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,9.000000e-01,4.551125e+00,6.000000e-01,9.000000e-01,1.167409e+00,9.693699e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.000000e+00,4.557595e+00,6.000000e-01,1.000000e+00,1.168732e+00,9.701763e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.100000e+00,4.564062e+00,6.000000e-01,1.100000e+00,1.170054e+00,9.709826e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.200000e+00,4.570527e+00,6.000000e-01,1.200000e+00,1.171376e+00,9.717885e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.300000e+00,4.576991e+00,6.000000e-01,1.300000e+00,1.172697e+00,9.725943e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.400000e+00,4.583452e+00,6.000000e-01,1.400000e+00,1.174018e+00,9.733998e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
6.000000e-01,1.500000e+00,4.589911e+00,6.000000e-01,1.500000e+00,1.175338e+00,9.742051e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,5.000000e-01,4.338075e+00,7.000000e-01,5.000000e-01,1.116724e+00,9.264823e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,6.000000e-01,4.344580e+00,7.000000e-01,6.000000e-01,1.118055e+00,9.272947e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,7.000000e-01,4.351083e+00,7.000000e-01,7.000000e-01,1.119385e+00,9.281069e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,8.000000e-01,4.357583e+00,7.000000e-01,8.000000e-01,1.120714e+00,9.289188e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,9.000000e-01,4.364082e+00,7.000000e-01,9.000000e-01,1.122044e+00,9.297305e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.000000e+00,4.370578e+00,7.000000e-01,1.000000e+00,1.123372e+00,9.305418e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.100000e+00,4.377072e+00,7.000000e-01,1.100000e+00,1.124701e+00,9.313529e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.200000e+00,4.383563e+00,7.000000e-01,1.200000e+00,1.126028e+00,9.321638e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.300000e+00,4.390052e+00,7.000000e-01,1.300000e+00,1.127356e+00,9.329743e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.400000e+00,4.396539e+00,7.000000e-01,1.400000e+00,1.128683e+00,9.337846e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.500000e+00,4.403024e+00,7.000000e-01,1.500000e+00,1.130009e+00,9.345947e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,5.000000e-01,4.206511e+00,8.000000e-01,5.000000e-01,1.084815e+00,8.986018e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,6.000000e-01,4.213039e+00,8.000000e-01,6.000000e-01,1.086151e+00,8.994186e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,7.000000e-01,4.219566e+00,8.000000e-01,7.000000e-01,1.087487e+00,9.002350e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,8.000000e-01,4.226089e+00,8.000000e-01,8.000000e-01,1.088822e+00,9.010511e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,9.000000e-01,4.232611e+00,8.000000e-01,9.000000e-01,1.090156e+00,9.018669e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.000000e+00,4.239129e+00,8.000000e-01,1.000000e+00,1.091490e+00,9.026825e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.100000e+00,4.245646e+00,8.000000e-01,1.100000e+00,1.092823e+00,9.034977e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.200000e+00,4.252159e+00,8.000000e-01,1.200000e+00,1.094156e+00,9.043126e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.300000e+00,4.258671e+00,8.000000e-01,1.300000e+00,1.095489e+00,9.051273e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.400000e+00,4.265180e+00,8.000000e-01,1.400000e+00,1.096821e+00,9.059416e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.500000e+00,4.271686e+00,8.000000e-01,1.500000e+00,1.098152e+00,9.067557e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,5.000000e-01,4.109009e+00,9.000000e-01,5.000000e-01,1.061168e+00,8.779393e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,6.000000e-01,4.115558e+00,9.000000e-01,6.000000e-01,1.062508e+00,8.787597e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,7.000000e-01,4.122104e+00,9.000000e-01,7.000000e-01,1.063848e+00,8.795797e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,8.000000e-01,4.128647e+00,9.000000e-01,8.000000e-01,1.065187e+00,8.803994e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,9.000000e-01,4.135188e+00,9.000000e-01,9.000000e-01,1.066526e+00,8.812187e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.000000e+00,4.141726e+00,9.000000e-01,1.000000e+00,1.067865e+00,8.820378e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.100000e+00,4.148261e+00,9.000000e-01,1.100000e+00,1.069203e+00,8.828565e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.200000e+00,4.154794e+00,9.000000e-01,1.200000e+00,1.070540e+00,8.836749e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.300000e+00,4.161324e+00,9.000000e-01,1.300000e+00,1.071877e+00,8.844930e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.400000e+00,4.167851e+00,9.000000e-01,1.400000e+00,1.073213e+00,8.853107e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.500000e+00,4.174376e+00,9.000000e-01,1.500000e+00,1.074548e+00,8.861282e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,5.000000e-01,4.033875e+00,1.000000e+00,5.000000e-01,1.042945e+00,8.620166e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,6.000000e-01,4.040441e+00,1.000000e+00,6.000000e-01,1.044289e+00,8.628400e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,7.000000e-01,4.047004e+00,1.000000e+00,7.000000e-01,1.045633e+00,8.636630e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,8.000000e-01,4.053564e+00,1.000000e+00,8.000000e-01,1.046976e+00,8.644857e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,9.000000e-01,4.060121e+00,1.000000e+00,9.000000e-01,1.048319e+00,8.653081e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.000000e+00,4.066675e+00,1.000000e+00,1.000000e+00,1.049661e+00,8.661301e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.100000e+00,4.073227e+00,1.000000e+00,1.100000e+00,1.051002e+00,8.669518e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.200000e+00,4.079776e+00,1.000000e+00,1.200000e+00,1.052343e+00,8.677732e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.300000e+00,4.086322e+00,1.000000e+00,1.300000e+00,1.053684e+00,8.685942e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.400000e+00,4.092865e+00,1.000000e+00,1.400000e+00,1.055024e+00,8.694148e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.500000e+00,4.099406e+00,1.000000e+00,1.500000e+00,1.056363e+00,8.702352e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,5.000000e-01,3.974211e+00,1.100000e+00,5.000000e-01,1.028474e+00,8.493722e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,6.000000e-01,3.980792e+00,1.100000e+00,6.000000e-01,1.029821e+00,8.501982e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,7.000000e-01,3.987369e+00,1.100000e+00,7.000000e-01,1.031169e+00,8.510239e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,8.000000e-01,3.993944e+00,1.100000e+00,8.000000e-01,1.032515e+00,8.518492e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,9.000000e-01,4.000515e+00,1.100000e+00,9.000000e-01,1.033861e+00,8.526741e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.000000e+00,4.007084e+00,1.100000e+00,1.000000e+00,1.035206e+00,8.534987e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.100000e+00,4.013649e+00,1.100000e+00,1.100000e+00,1.036551e+00,8.543230e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.200000e+00,4.020212e+00,1.100000e+00,1.200000e+00,1.037895e+00,8.551468e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.300000e+00,4.026772e+00,1.100000e+00,1.300000e+00,1.039239e+00,8.559704e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.400000e+00,4.033329e+00,1.100000e+00,1.400000e+00,1.040582e+00,8.567935e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.500000e+00,4.039883e+00,1.100000e+00,1.500000e+00,1.041924e+00,8.576163e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,5.000000e-01,3.925690e+00,1.200000e+00,5.000000e-01,1.016705e+00,8.390891e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,6.000000e-01,3.932283e+00,1.200000e+00,6.000000e-01,1.018056e+00,8.399174e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,7.000000e-01,3.938873e+00,1.200000e+00,7.000000e-01,1.019406e+00,8.407453e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,8.000000e-01,3.945460e+00,1.200000e+00,8.000000e-01,1.020755e+00,8.415729e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,9.000000e-01,3.952044e+00,1.200000e+00,9.000000e-01,1.022104e+00,8.424001e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.000000e+00,3.958625e+00,1.200000e+00,1.000000e+00,1.023452e+00,8.432269e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.100000e+00,3.965203e+00,1.200000e+00,1.100000e+00,1.024800e+00,8.440533e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.200000e+00,3.971777e+00,1.200000e+00,1.200000e+00,1.026147e+00,8.448794e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.300000e+00,3.978349e+00,1.200000e+00,1.300000e+00,1.027493e+00,8.457050e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.400000e+00,3.984918e+00,1.200000e+00,1.400000e+00,1.028839e+00,8.465304e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.500000e+00,3.991484e+00,1.200000e+00,1.500000e+00,1.030184e+00,8.473553e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,5.000000e-01,3.885460e+00,1.300000e+00,5.000000e-01,1.006948e+00,8.305629e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,6.000000e-01,3.892064e+00,1.300000e+00,6.000000e-01,1.008301e+00,8.313931e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,7.000000e-01,3.898665e+00,1.300000e+00,7.000000e-01,1.009653e+00,8.322230e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,8.000000e-01,3.905262e+00,1.300000e+00,8.000000e-01,1.011005e+00,8.330525e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,9.000000e-01,3.911857e+00,1.300000e+00,9.000000e-01,1.012356e+00,8.338817e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.000000e+00,3.918449e+00,1.300000e+00,1.000000e+00,1.013707e+00,8.347104e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.100000e+00,3.925037e+00,1.300000e+00,1.100000e+00,1.015057e+00,8.355387e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.200000e+00,3.931622e+00,1.300000e+00,1.200000e+00,1.016406e+00,8.363667e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.300000e+00,3.938204e+00,1.300000e+00,1.300000e+00,1.017755e+00,8.371943e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.400000e+00,3.944783e+00,1.300000e+00,1.400000e+00,1.019103e+00,8.380215e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.500000e+00,3.951359e+00,1.300000e+00,1.500000e+00,1.020451e+00,8.388483e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,5.000000e-01,3.851563e+00,1.400000e+00,5.000000e-01,9.987262e-01,8.233790e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,6.000000e-01,3.858177e+00,1.400000e+00,6.000000e-01,1.000082e+00,8.242110e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,7.000000e-01,3.864788e+00,1.400000e+00,7.000000e-01,1.001436e+00,8.250426e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,8.000000e-01,3.871395e+00,1.400000e+00,8.000000e-01,1.002790e+00,8.258738e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,9.000000e-01,3.877999e+00,1.400000e+00,9.000000e-01,1.004144e+00,8.267046e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.000000e+00,3.884600e+00,1.400000e+00,1.000000e+00,1.005497e+00,8.275351e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.100000e+00,3.891198e+00,1.400000e+00,1.100000e+00,1.006849e+00,8.283651e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.200000e+00,3.897792e+00,1.400000e+00,1.200000e+00,1.008200e+00,8.291948e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.300000e+00,3.904383e+00,1.400000e+00,1.300000e+00,1.009551e+00,8.300240e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.400000e+00,3.910972e+00,1.400000e+00,1.400000e+00,1.010901e+00,8.308529e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.500000e+00,3.917557e+00,1.400000e+00,1.500000e+00,1.012251e+00,8.316813e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,5.000000e-01,3.822615e+00,1.500000e+00,5.000000e-01,9.917050e-01,8.172437e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,6.000000e-01,3.829237e+00,1.500000e+00,6.000000e-01,9.930623e-01,8.180773e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,7.000000e-01,3.835857e+00,1.500000e+00,7.000000e-01,9.944190e-01,8.189104e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,8.000000e-01,3.842472e+00,1.500000e+00,8.000000e-01,9.957750e-01,8.197432e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,9.000000e-01,3.849085e+00,1.500000e+00,9.000000e-01,9.971303e-01,8.205755e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,1.000000e+00,3.855694e+00,1.500000e+00,1.000000e+00,9.984850e-01,8.214074e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,1.100000e+00,3.862300e+00,1.500000e+00,1.100000e+00,9.998390e-01,8.222390e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
