Sherwood number,Power number,Membrane area list,cp (TDS) list,Pressure drop list,K (TDS) list,f list,Re list,Sh (TDS) list,Pn list,Telescoping potential list,Inlet velocity list,Outlet velocity list,Number of pressure vessels list
10.0,100000.0,"[39053.54353846154, 26035.695692307694, 13017.847846153847]","[2.5847026273140923, 1.8715406893866855, 1.501735128178279]","[-4265.60091939075, -5522.604213767009, -4152.827114082368]","[1.629516559122542e-05, 1.6190718461341916e-05, 1.6115658876329165e-05]","[0.06711142065524375, 0.13036838584498986, 0.04906181141249181]","[282.21018570166297, 214.6327139954737, 263.93495415898565]","[10.0, 10.0, 10.0]","[100000.00000000003, 100000.00000000001, 100000.0]","[0.00710933486565125, 0.009204340356278349, 0.006921378523470614]","[0.2500000014139874, 0.1849696964165687, 0.2038768640392754]","[0.12331313094437912, 0.1019384320196377, 0.1500412961989246]","[180.0, 120.0, 60.0]"
10.0,138949.5494373139,"[39053.54353846154, 26035.69569230769, 13017.847846153845]","[2.5857401985474784, 1.8710091052339126, 1.5009100993822058]","[-5929.112142999336, -7676.9814850825005, -5770.975478771071]","[1.6295120350001834e-05, 1.6190640267721443e-05, 1.611563722072742e-05]","[0.09335494354523315, 0.18136314713024657, 0.06818907665531976]","[282.16323771379865, 214.54143441068604, 263.8778018625996]","[10.0, 10.0, 10.0]","[138949.54943731392, 138949.5494373139, 138949.5494373139]","[0.00988185357166556, 0.012794969141804169, 0.00961829246461845]","[0.2500000014139874, 0.1848936388509055, 0.20380395106200744]","[0.12326242590060367, 0.10190197553100372, 0.1500412960125589]","[180.0, 120.0, 60.0]"
10.0,193069.77288832495,"[39053.54353846154, 26035.69569230769, 13017.847846153845]","[2.5871839023728542, 1.8702701911240993, 1.4997636636906653]","[-8242.494940404185, -10673.60624506738, -8019.983444513138]","[1.6295057396775997e-05, 1.6190531468806968e-05, 1.6115607102345505e-05]","[0.12991744889848275, 0.2524230823618313, 0.09478305741762724]","[282.09795472961036, 214.41450967089185, 263.79833230270674]","[10.0, 10.0, 10.0]","[193069.77288832495, 193069.77288832504, 193069.77288832498]","[0.01373749156734031, 0.017789343741778964, 0.013366639074188563]","[0.2500000014139874, 0.18478787824877627, 0.20370256689004637]","[0.1231919188325175, 0.10185128344502319, 0.1500412957528878]","[180.0, 120.0, 60.0]"
10.0,268269.57952797273,"[39053.54353846154, 26035.69569230769, 13017.847846153845]","[2.5891938014604285, 1.8692429301383555, 1.4981705765979445]","[-11460.689488065134, -14843.459987075033, -11146.127350538029]","[1.6294969747785837e-05, 1.619038000428606e-05, 1.6115565198788356e-05]","[0.1809095311925637, 0.35155424899657367, 0.13176768361108987]","[282.0071495442261, 214.2379699828952, 263.6878000341266]","[10.0, 10.0, 10.0]","[268269.5795279727, 268269.5795279727, 268269.5795279727]","[0.019101149146775222, 0.024739099978458388, 0.01857687891756338]","[0.2500000014139874, 0.18464077156506908, 0.2035615549275064]","[0.12309384771004604, 0.1017807774637532, 0.15004129539068795]","[180.0, 120.0, 60.0]"
10.0,372759.3720314938,"[39053.54353846154, 26035.69569230769, 13017.847846153845]","[2.5919940673931725, 1.8678145017263665, 1.4959567568686425]","[-15939.645201106978, -20649.199734859594, -15492.132258293814]","[1.6294847619055385e-05, 1.619016898504667e-05, 1.6115506869065855e-05]","[0.25212941910394365, 0.49006177619217867, 0.18322051308668819]","[281.8807925414021, 213.99232353496592, 263.5340036622128]","[10.0, 10.0, 10.0]","[372759.37203149375, 372759.3720314939, 372759.3720314938]","[0.026566075335178293, 0.03441533289143266, 0.02582022043048969]","[0.2500000014139874, 0.184436071501073, 0.20336535015883775]","[0.12295738100071534, 0.10168267507941887, 0.15004129488471973]","[180.0, 120.0, 60.0]"
10.0,517947.46792312124,"[39053.54353846154, 26035.69569230769, 13017.847846153845]","[2.595899626726193, 1.8658276580039537, 1.492880213048028]","[-22177.288528907797, -28739.069697270566, -21535.234912474894]","[1.629467725959025e-05, 1.6189874687816477e-05, 1.6115425616879218e-05]","[0.35180347375981863, 0.6840085596913037, 0.2548361167325114]","[281.704863867971, 213.6503293418908, 263.319892996009]","[10.0, 10.0, 10.0]","[517947.4679231213, 517947.4679231212, 517947.4679231212]","[0.03696214754817966, 0.04789844949545095, 0.035892058187458165]","[0.2500000014139874, 0.18415106759318106, 0.2030922027335471]","[0.12276737839545404, 0.10154610136677356, 0.15004129417644504]","[180.0, 120.0, 60.0]"
10.0,719685.6730011514,"[39053.54353846154, 26035.695692307694, 13017.847846153847]","[2.6013548021701034, 1.8630629535839378, 1.4886044909911305]","[-30872.016150528154, -40024.35076414502, -29940.547643202]","[1.6294439256473375e-05, 1.6189463648835413e-05, 1.611531232284271e-05]","[0.4916970250623082, 0.9564133386449076, 0.35458355367562766]","[281.45971948261877, 213.17382966291828, 263.0215891903432]","[10.0, 10.0, 10.0]","[719685.6730011513, 719685.6730011513, 719685.6730011511]","[0.05145336025088026, 0.06670725127357503, 0.049900912738670006]","[0.2500000014139874, 0.18375394044949947, 0.20271165313413128]","[0.12250262696633296, 0.10135582656706564, 0.15004129318210246]","[180.0, 120.0, 60.0]"
10.0,1000000.0,"[39053.54353846154, 26035.695692307694, 13017.847846153847]","[2.6089902245785503, 1.8592135939378456, 1.482661679984342]","[-43007.09768242472, -55792.04840825038, -41636.14866179637]","[1.6294106032786375e-05, 1.618888838719677e-05, 1.611515413430656e-05]","[0.6888240166549401, 1.3406523850466365, 0.4936471105859368]","[281.11774338257914, 212.5092045158438, 262.6055461469088]","[10.0, 10.0, 10.0]","[1000000.0, 999999.9999999998, 1000000.0000000002]","[0.07167849613737452, 0.09298674734708398, 0.06939358110299396]","[0.2500000014139874, 0.18319996110544137, 0.20218091264724275]","[0.12213330740362756, 0.10109045632362137, 0.15004129178052306]","[180.0, 120.0, 60.0]"
10.0,1389495.494373136,"[39053.54353846154, 26035.69569230769, 13017.847846153845]","[2.619708404748386, 1.853849552356217, 1.4744008103214035]","[-59974.263417571645, -77871.736853185, -57919.30122747966]","[1.629363807362141e-05, 1.6188080983312577e-05, 1.6114932836769074e-05]","[0.9681658922150165, 1.88590466442654, 0.6877884792030684]","[280.6399303801559, 211.5807684017327, 262.0244325992671]","[10.0, 10.0, 10.0]","[1389495.4943731362, 1389495.4943731357, 1389495.4943731362]","[0.09995710569595273, 0.12978622808864165, 0.09653216871246609]","[0.2500000014139874, 0.1824259613777511, 0.2014396132120837]","[0.1216173075851674, 0.10071980660604185, 0.15004128979383008]","[180.0, 120.0, 60.0]"
10.0,1930697.7288832497,"[39053.54353846154, 26035.695692307694, 13017.847846153847]","[2.6348159481296687, 1.8463657738599832, 1.4629157458923931]","[-83758.38923159163, -108888.54384638448, -80607.85607414052]","[1.6292978069798708e-05, 1.6186943177960626e-05, 1.6114622418610205e-05]","[1.3671774795312504, 2.666242389831938, 0.9593529160891876]","[279.97082304201047, 210.28101512798997, 261.2110623415956]","[10.0, 10.0, 10.0]","[1930697.7288832497, 1930697.7288832502, 1930697.7288832497]","[0.13959731538598605, 0.18148090641064077, 0.13434642679023423]","[0.2500000014139874, 0.1813421464233697, 0.20040206951363182]","[0.12089476428224648, 0.10020103475681591, 0.15004128695570781]","[180.0, 120.0, 60.0]"
