# Sherwood number,Power number,LCOW,Energy Consumption,Volumetric Recovery,Membrane area,cp_average,Pressure drop,Average K,Average f,Average Re,Average Sh,Average Pn,Inlet velocity,Outlet velocity,Sherwood number,Power number,Channel height,Spacer porosity,Length,Number of pressure vessels,Telescoping potential,Operating pressure,Outlet bulk concentration,Outlet interface concentration
1.000000e+01,1.000000e+05,1.063959e+00,6.202043e+00,5.000000e-01,4.905276e+04,1.912733e+00,-1.205827e+04,1.950587e-05,1.495800e-01,2.190024e+02,1.000000e+01,1.000000e+05,2.500000e-01,1.251534e-01,1.000000e+01,1.000000e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.009712e-02,1.323696e+07,6.977432e+01,1.191325e+02
1.000000e+01,1.389495e+05,1.064291e+00,6.204681e+00,5.000000e-01,4.905276e+04,1.912749e+00,-1.675524e+04,1.950587e-05,2.078471e-01,2.189994e+02,1.000000e+01,1.389495e+05,2.500000e-01,1.251534e-01,1.000000e+01,1.389495e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.792539e-02,1.324034e+07,6.977431e+01,1.191239e+02
1.000000e+01,1.930698e+05,1.064753e+00,6.208349e+00,5.000000e-01,4.905276e+04,1.912769e+00,-2.328195e+04,1.950588e-05,2.888151e-01,2.189953e+02,1.000000e+01,1.930698e+05,2.500000e-01,1.251534e-01,1.000000e+01,1.930698e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,3.880325e-02,1.324504e+07,6.977431e+01,1.191119e+02
1.000000e+01,2.682696e+05,1.065395e+00,6.213445e+00,5.000000e-01,4.905276e+04,1.912799e+00,-3.235137e+04,1.950588e-05,4.013312e-01,2.189895e+02,1.000000e+01,2.682696e+05,2.500000e-01,1.251534e-01,1.000000e+01,2.682696e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,5.391895e-02,1.325156e+07,6.977431e+01,1.190953e+02
1.000000e+01,3.727594e+05,1.066286e+00,6.220527e+00,5.000000e-01,4.905276e+04,1.912839e+00,-4.495441e+04,1.950588e-05,5.576943e-01,2.189816e+02,1.000000e+01,3.727594e+05,2.500000e-01,1.251534e-01,1.000000e+01,3.727594e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,7.492401e-02,1.326062e+07,6.977430e+01,1.190723e+02
1.000000e+01,5.179475e+05,1.067525e+00,6.230369e+00,5.000000e-01,4.905276e+04,1.912896e+00,-6.246843e+04,1.950589e-05,7.750032e-01,2.189704e+02,1.000000e+01,5.179475e+05,2.500000e-01,1.251534e-01,1.000000e+01,5.179475e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.041141e-01,1.327322e+07,6.977430e+01,1.190402e+02
1.000000e+01,7.196857e+05,1.069248e+00,6.244050e+00,5.000000e-01,4.905276e+04,1.912974e+00,-8.680828e+04,1.950589e-05,1.077036e+00,2.189550e+02,1.000000e+01,7.196857e+05,2.500000e-01,1.251534e-01,1.000000e+01,7.196857e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.446805e-01,1.329073e+07,6.977429e+01,1.189957e+02
1.000000e+01,1.000000e+06,1.071642e+00,6.263068e+00,5.000000e-01,4.905276e+04,1.913084e+00,-1.206365e+05,1.950590e-05,1.496871e+00,2.189336e+02,1.000000e+01,1.000000e+06,2.500000e-01,1.251534e-01,1.000000e+01,1.000000e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.010608e-01,1.331508e+07,6.977427e+01,1.189339e+02
1.000000e+01,1.389495e+06,1.074971e+00,6.289509e+00,5.000000e-01,4.905276e+04,1.913237e+00,-1.676562e+05,1.950592e-05,2.080542e+00,2.189038e+02,1.000000e+01,1.389495e+06,2.500000e-01,1.251534e-01,1.000000e+01,1.389495e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.794270e-01,1.334894e+07,6.977425e+01,1.188482e+02
1.000000e+01,1.930698e+06,1.079602e+00,6.326281e+00,5.000000e-01,4.905276e+04,1.913451e+00,-2.330200e+05,1.950593e-05,2.892153e+00,2.188625e+02,1.000000e+01,1.930698e+06,2.500000e-01,1.251534e-01,1.000000e+01,1.930698e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,3.883667e-01,1.339604e+07,6.977423e+01,1.187291e+02
1.000000e+01,2.682696e+06,1.086045e+00,6.377436e+00,5.000000e-01,4.905276e+04,1.913752e+00,-3.239011e+05,1.950596e-05,4.021051e+00,2.188050e+02,1.000000e+01,2.682696e+06,2.500000e-01,1.251534e-01,1.000000e+01,2.682696e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,5.398351e-01,1.346159e+07,6.977419e+01,1.185640e+02
1.000000e+01,3.727594e+06,1.095015e+00,6.448634e+00,5.000000e-01,4.905276e+04,1.914176e+00,-4.502927e+05,1.950600e-05,5.591914e+00,2.187253e+02,1.000000e+01,3.727594e+06,2.500000e-01,1.251534e-01,1.000000e+01,3.727594e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,7.504878e-01,1.355286e+07,6.977413e+01,1.183352e+02
