Sherwood number,Power number,LCOW,Energy Consumption,Volumetric Recovery,Average membrane area,Average cp (TDS),Average pressure drop,Average K (TDS),Average f,Average Re,Average Sh (TDS),Average Pn,Average telescoping potential,Inlet velocity,Outlet velocity,Channel height,Spacer porosity,Length,Number of pressure vessels,Operating pressure,Outlet bulk concentration,Outlet interface concentration
10.0,100000.0,1.0639592198307362,6.202042540779806,0.5,49052.76,1.9127334523977484,-12058.271547764309,1.9505873696270575e-05,0.14957996302591975,219.0024160328363,10.0,99999.99999999997,0.02009711924627385,0.24999999999999994,0.12515336157977613,0.0007112,0.85,6.0,200.0,13236964.71172577,69.77431662777785,119.13247197757092
10.0,138949.5494373139,1.0642914137563504,6.204681460864168,0.5,49052.76000000001,1.9127485114890777,-16755.236937926988,1.950587497078389e-05,0.20784712022334162,218.99943618043542,10.0,138949.54943731386,0.027925394896544976,0.24999999999999994,0.1251533615627636,0.0007112,0.85,6.0,200.0,13240341.91360595,69.77431470971615,119.12387001730191
10.0,193069.77288832495,1.0647530405995878,6.208348542657001,0.5,49052.76000000001,1.9127694516608136,-23281.94980409493,1.950587674287271e-05,0.2888150642057321,218.99529585203732,10.0,193069.772888325,0.038803249673491545,0.24999999999999994,0.12515336153910667,0.0007112,0.85,6.0,200.0,13245035.04448147,69.77431204253473,119.11191912990869
10.0,268269.57952797273,1.0653945556760236,6.213444543015551,0.5,49052.76000000001,1.9127985781106167,-32351.368410900755,1.9505879207418665e-05,0.4013312289243832,218.9895431994778,10.0,268269.57952797285,0.05391894735150126,0.24999999999999994,0.12515336150620046,0.0007112,0.85,6.0,200.0,13251557.140605237,69.7743083325534,119.09531631737565
10.0,372759.3720314938,1.0662861053136676,6.2205265841132205,0.5,49052.76,1.9128391074264413,-44954.40566271044,1.950588263621278e-05,0.5576942828413763,218.98155052361818,10.0,372759.3720314938,0.07492400943785073,0.24999999999999997,0.1251533614604099,0.0007112,0.85,6.0,200.0,13260621.517701516,69.77430316993565,119.07225236749612
10.0,517947.46792312124,1.0675252326331024,6.230369310634829,0.5,49052.76000000001,1.9128955351421233,-62468.4339601453,1.9505887408846063e-05,0.7750032174757828,218.97044591383423,10.0,517947.4679231213,0.10411405660024217,0.24999999999999994,0.12515336139665376,0.0007112,0.85,6.0,200.0,13273220.201827854,69.77429598180039,119.04021589390055
10.0,719685.6730011514,1.069247618438264,6.244050103718876,0.5,49052.76000000001,1.9129741581296704,-86808.2785464636,1.9505894056502955e-05,1.077036428438763,218.95501838591514,10.0,719685.6730011513,0.14468046424410597,0.24999999999999994,0.12515336130781315,0.0007112,0.85,6.0,200.0,13290733.30267864,69.77428596554066,118.99572217573635
10.0,1000000.0,1.0716420708431804,6.263067941998951,0.5,49052.76,1.9130838229581495,-120636.45971725031,1.9505903324495097e-05,1.4968714608521672,218.9335863137997,10.0,1000000.0,0.20106076619541718,0.24999999999999994,0.12515336118388376,0.0007112,0.85,6.0,200.0,13315081.748566534,69.77427199321725,118.93393855521852
10.0,1389495.494373136,1.0749714793410277,6.289509441312962,0.5,49052.76,1.9132370090498596,-167656.17009436476,1.9505916262405287e-05,2.080542141261307,218.9038150884586,10.0,1389495.4943731362,0.27942695015727453,0.24999999999999994,0.1251533610107469,0.0007112,0.85,6.0,200.0,13348940.982434241,69.77425247301973,118.8481681289681
10.0,1930697.7288832497,1.079602174164966,6.326281273720835,0.5,49052.76,1.9134514170236032,-233020.0045141038,1.9505934355634364e-05,2.892153180065999,218.86246468057521,10.0,1930697.72888325,0.38836667419017296,0.24999999999999994,0.1251533607683647,0.0007112,0.85,6.0,200.0,13396040.73683713,69.77422514578925,118.72914045629537
10.0,2682695.7952797273,1.0860451927379249,6.377436417801306,0.5,49052.76000000001,1.9137523356410873,-323901.0656541334,1.9505959720361288e-05,4.021051198557954,218.805040699832,10.0,2682695.7952797273,0.5398351094235556,0.24999999999999994,0.1251533604280851,0.0007112,0.85,6.0,200.0,13461587.075149389,69.7741867811373,118.5640416944587
10.0,3727593.720314938,1.0950145329110312,6.448633885061251,0.5,49052.76,1.9141762370861228,-450292.67989981995,1.950599539801973e-05,5.591914427789127,218.72531314818613,10.0,3727593.7203149395,0.7504877998330333,0.25,0.12515335994853555,0.0007112,0.85,6.0,200.0,13552859.475791784,69.77413271449855,118.33519732971838
10.0,5179474.6792312125,1.1075098672157597,6.547789927770513,0.5,49052.76000000001,1.9147763576318808,-626131.5928073791,1.9506045810181135e-05,7.779018603399231,218.61465493287716,10.0,5179474.679231213,1.043552654678965,0.24999999999999997,0.12515335926922413,0.0007112,0.85,6.0,200.0,13680061.140189845,69.77405612563152,118.0183005802595
10.0,7196856.730011513,1.1249349141503788,6.686007018983421,0.5,49052.76,1.9156315634522008,-870882.0299778243,1.9506117479312722e-05,10.826545184389358,218.4611372866551,10.0,7196856.7300115125,1.4514700499630404,0.24999999999999994,0.12515335830031726,0.0007112,0.85,6.0,200.0,13857540.594486289,69.77394688607077,117.58006451512415
10.0,,,,,,,,,,,,,,,,,,,,,,
12.385989684455543,100000.0,0.9734498187406175,5.645140542555412,0.5,49052.76000000001,1.6872525470873074,-12073.882722021062,2.4160130341241996e-05,0.14988539998146821,218.81099217544767,12.385989684455543,99999.99999999999,0.020123137870035106,0.24999999999999994,0.12515350251018478,0.0007112,0.85,6.0,200.0,12056960.52579737,69.79020199490276,107.09815563034049
12.385989684455543,138949.5494373139,0.9737830041690345,5.647786343898249,0.5,49052.76,1.687263798293373,-16777.00912611348,2.4160132380230054e-05,0.2082731643984896,218.80729315107988,12.385989684455543,138949.54943731386,0.027961681876855802,0.24999999999999994,0.12515350249185847,0.0007112,0.85,6.0,200.0,12060349.402956594,69.79019992968468,107.09040450093187
12.385989684455543,193069.77288832495,0.9742460139475287,5.651463028948405,0.5,49052.76000000001,1.6872794456804754,-23312.35767610419,2.4160135215654156e-05,0.28941021999616273,218.80215359269405,12.385989684455543,193069.77288832498,0.03885392946017366,0.24999999999999994,0.12515350246637594,0.0007112,0.85,6.0,200.0,12065058.809755959,69.7901970580117,107.07963572884826
12.385989684455543,268269.57952797273,0.9748894607415145,5.656572453695406,0.5,49052.76000000001,1.687301214460775,-32393.92034930021,2.4160139159826023e-05,0.4021643175668051,218.7950126231467,12.385989684455543,268269.57952797273,0.05398986724883369,0.24999999999999997,0.12515350243093262,0.0007112,0.85,6.0,200.0,12071603.623932976,69.79019306385484,107.06467524710386
12.385989684455543,372759.3720314938,0.9757837140753258,5.663673303850659,0.5,49052.76000000001,1.6873315138242937,-45014.11147931277,2.4160144648660182e-05,0.5588636851275935,218.78509109681113,12.385989684455543,372759.3720314937,0.07502351913218795,0.24999999999999994,0.12515350238161618,0.0007112,0.85,6.0,200.0,12080699.766172778,69.79018750630755,107.04389289679408
12.385989684455543,517947.46792312124,0.9770266360188246,5.6735424668280485,0.5,49052.76,1.6873737145134742,-62552.51551736405,2.4160152291641638e-05,0.7766509596704628,218.77130676314113,12.385989684455543,517947.46792312124,0.10425419252894008,0.24999999999999994,0.12515350231295957,0.0007112,0.85,6.0,200.0,12093342.971542507,69.7901797692858,107.01502590015295
12.385989684455543,719685.6730011514,0.9787543676245991,5.68726057588096,0.5,49052.76,1.6874325448815743,-86927.2746723196,2.416016294295731e-05,1.0793701648802176,218.75215655386003,12.385989684455543,719685.6730011514,0.14487879112053267,0.24999999999999994,0.12515350221730737,0.0007112,0.85,6.0,200.0,12110918.676528571,69.79016899009093,106.97493461878602
12.385989684455543,1000000.0,0.9811563895934017,5.706331391586467,0.5,49052.76000000001,1.687514661193476,-120805.98904337214,2.4160177803623308e-05,1.500199699151633,218.7255533460951,12.385989684455543,999999.9999999999,0.2013433150722869,0.24999999999999994,0.12515350208390863,0.0007112,0.85,6.0,200.0,12135355.54656986,69.79015395716605,106.91926519248277
12.385989684455543,1389495.494373136,0.9844965901413137,5.732848684617268,0.5,49052.76000000001,1.6876294785187,-167899.82171494156,2.4160198569757343e-05,2.0853322966722136,218.68859977762574,12.385989684455543,1389495.4943731362,0.2798330361915692,0.24999999999999994,0.12515350189760485,0.0007112,0.85,6.0,200.0,12169340.426672652,69.79013296227653,106.84198466277849
12.385989684455543,1930697.7288832497,0.9891428119481624,5.769730060132752,0.5,49052.76000000001,1.6877903992114773,-233374.21133780025,2.4160227650932243e-05,2.899130024169508,218.63727519944064,12.385989684455543,1930697.7288832492,0.3889570188963337,0.24999999999999994,0.12515350163690928,0.0007112,0.85,6.0,200.0,12216620.159426283,69.79010358401939,106.73474253474659
12.385989684455543,2682695.7952797273,0.9956084370405676,5.821045619056476,0.5,49052.76000000001,1.6880166618519081,-324423.5434640746,2.416026849748096e-05,4.031368513321138,218.56600312216773,12.385989684455543,2682695.7952797264,0.5407059057734577,0.24999999999999994,0.12515350127114735,0.0007112,0.85,6.0,200.0,12282427.053681556,69.79006236561827,106.58599817089969
12.385989684455543,3727593.720314938,1.0046111964561149,5.892481936883402,0.5,49052.76000000001,1.6883361822305698,-451077.40887203166,2.416032610169576e-05,5.607462249920591,218.4670549713748,12.385989684455543,3727593.7203149376,0.751795681453386,0.24999999999999997,0.125153500756119,0.0007112,0.85,6.0,200.0,12374081.894597897,69.79000432600617,106.3798363307153
12.385989684455543,5179474.6792312125,1.017156884181405,5.992000970104726,0.5,49052.76000000001,1.6887900197645016,-627336.0164391658,2.4160407784526235e-05,7.802986714526556,218.32973113148614,12.385989684455543,5179474.679231213,1.0455600273986096,0.24999999999999997,0.12515350002736605,0.0007112,0.85,6.0,200.0,12501854.804038007,69.7899222011527,106.09437552875659
12.385989684455543,7196856.730011513,1.0346595724961256,6.130783318448896,0.5,49052.76,1.689439568743631,-872777.4312546969,2.416052446476132e-05,10.864480329345136,218.13924214650805,12.385989684455543,7196856.730011513,1.4546290520911616,0.24999999999999997,0.125153498989466,0.0007112,0.85,6.0,200.0,12680206.177661458,69.78980523746625,105.69966115291405
12.385989684455543,,,,,,,,,,,,,,,,,,,,,,
15.341274046343907,100000.0,0.9108681888477046,5.2600775990031385,0.5,49052.76000000001,1.5248495506925017,-12085.140901871162,2.992487187275497e-05,0.15010649753163122,218.67370043467633,15.341274046343909,100000.0,0.020141901503118606,0.24999999999999994,0.125153604326093,0.0007112,0.85,6.0,200.0,11241060.574860943,69.80167385097313,98.42483103587897
15.341274046343907,138949.5494373139,0.9112023354794511,5.262729879545529,0.5,49052.76,1.5248576223398804,-16792.726373396184,2.9924874931779384e-05,0.20858189173821265,218.66934267199514,15.341274046343905,138949.54943731392,0.02798787728899364,0.24999999999999994,0.12515360430654732,0.0007112,0.85,6.0,200.0,11244461.077939238,69.80167164907787,98.41805483569283
15.341274046343907,193069.77288832495,0.911666685304236,5.266415603582875,0.5,49052.76,1.5248688492269635,-23334.339739384326,2.992487918622567e-05,0.28984211837031987,218.66328785135585,15.341274046343905,193069.7728883249,0.03889056623230722,0.24999999999999994,0.12515360427937114,0.0007112,0.85,6.0,200.0,11249186.683026273,69.8016685875897,98.40864052902968
15.341274046343907,268269.57952797273,0.9123120027011717,5.271537657840198,0.5,49052.76,1.5248844708825582,-32424.740553219417,2.9924885105379062e-05,0.4027700858999575,218.65487522879337,15.341274046343905,268269.57952797273,0.0540412342553657,0.24999999999999994,0.1251536042415764,0.0007112,0.85,6.0,200.0,11255754.089915682,69.80166432987254,98.395561695623
15.341274046343907,372759.3720314938,0.9132088718790395,5.278656191685216,0.5,49052.76000000001,1.524906219463198,-45057.4695900193,2.9924893344731262e-05,0.5597163113292255,218.64318693896635,15.341274046343909,372759.37203149375,0.07509578265003217,0.24999999999999994,0.1251536041889957,0.0007112,0.85,6.0,200.0,11264881.789440213,69.80165840647052,98.3773931625606
15.341274046343907,517947.46792312124,0.9144554607181964,5.288550187139121,0.5,49052.76000000001,1.5249365207722494,-62613.79230855689,2.9924904821696274e-05,0.7778567787411466,218.62694806741104,15.341274046343909,517947.4679231214,0.10435632051426148,0.24999999999999994,0.12515360411580956,0.0007112,0.85,6.0,200.0,11277569.162234703,69.80165016179153,98.35215665381565
15.341274046343907,719685.6730011514,0.916188349737411,5.302303305775373,0.5,49052.76000000001,1.5249787820635132,-87014.41076361916,2.9924920823793402e-05,1.0810864543139542,218.60438800730654,15.341274046343909,719685.6730011513,0.14502401793936526,0.24999999999999994,0.12515360401387554,0.0007112,0.85,6.0,200.0,11295206.85439669,69.80163867855094,98.31710721633374
15.341274046343907,1000000.0,0.9185976584860615,5.321423744562,0.5,49052.76000000001,1.5250378082966196,-120930.91588440198,2.9924943164725604e-05,1.5026634644231573,218.57304821505514,15.341274046343909,999999.9999999999,0.2015515264740033,0.24999999999999994,0.125153603871771,0.0007112,0.85,6.0,200.0,11319731.049799629,69.80162266994188,98.26843818895472
15.341274046343907,1389495.494373136,0.9219482176834053,5.348011882413561,0.5,49052.76000000001,1.5251204120013941,-168080.8572323416,2.9924974412402356e-05,2.0889087247402274,218.52951586507908,15.341274046343909,1389495.4943731357,0.2801347620539027,0.24999999999999994,0.12515360367341424,0.0007112,0.85,6.0,200.0,11353839.584251381,69.80160032431563,98.20087459664637
15.341274046343907,1930697.7288832497,0.9266092864247194,5.38499537071646,0.5,49052.76000000001,1.5252363212039095,-233640.18086461545,2.992501822740086e-05,2.904396360463708,218.46905528110236,15.341274046343909,1930697.7288832492,0.3894003014410257,0.24999999999999997,0.12515360339605533,0.0007112,0.85,6.0,200.0,11401295.632881818,69.80156907876882,98.10711462089621
15.341274046343907,2682695.7952797273,0.9330964236459623,5.436459956972881,0.5,49052.76,1.5253995571464798,-324821.05090115557,2.9925079875252207e-05,4.039263171592754,218.38509878151757,15.341274046343905,2682695.7952797273,0.5413684181685927,0.24999999999999994,0.12515360300730147,0.0007112,0.85,6.0,200.0,11467356.275404546,69.80152528409566,97.97706597667019
15.341274046343907,3727593.720314938,0.9421307953142858,5.508117266847512,0.5,49052.76000000001,1.5256305710250682,-451683.9654748064,2.9925167019994395e-05,5.619556520231541,218.26854505659634,15.341274046343909,3727593.7203149376,0.7528066091246772,0.24999999999999994,0.12515360246063448,0.0007112,0.85,6.0,200.0,11559380.803159727,69.80146369979423,97.79680890978315
15.341274046343907,5179474.6792312125,0.954723778957906,5.607970592533052,0.5,49052.76,1.5259596372746578,-628284.2392127789,2.992529098634341e-05,7.821991372673922,218.10679584949344,15.341274046343905,5179474.679231213,1.0471403986879646,0.24999999999999994,0.12515360168850773,0.0007112,0.85,6.0,200.0,11687700.942726504,69.80137671632416,97.54720173386241
15.341274046343907,7196856.730011513,0.9722988217391615,5.747270952509684,0.5,49052.76000000001,1.526432373775522,-874300.4771038848,2.9925468826039923e-05,10.895211125587545,217.8824405845246,15.341274046343909,7196856.730011513,1.457167461839808,0.24999999999999994,0.1251536005914531,0.0007112,0.85,6.0,200.0,11866878.897847736,69.80125312792242,97.20203293613645
15.341274046343907,,,,,,,,,,,,,,,,,,,,,,
19.00168620844212,100000.0,0.8660631010477277,4.984393254445593,0.5,49052.76,1.405342442878152,-12093.016632908257,3.7065057990212484e-05,0.1502614098034394,218.57824418007948,19.00168620844212,100000.0,0.02015502772151376,0.24999999999999997,0.1251536794716155,0.0007112,0.85,6.0,200.0,10656919.911422875,69.81013820926812,92.02219318221897
19.00168620844212,138949.5494373139,0.8663981461882649,4.987051460430928,0.5,49052.76,1.405348074587061,-16803.735117367265,3.706506236706297e-05,0.20879848053753017,218.57330508150847,19.00168620844212,138949.54943731386,0.02800622519561211,0.24999999999999994,0.12515367945090847,0.0007112,0.85,6.0,200.0,10660331.492362639,69.81013587712846,92.01639511624018
19.00168620844212,193069.77288832495,0.8668637483028094,4.990745449044089,0.5,49052.76000000001,1.4053559085971365,-23349.762745350974,3.7065068455027554e-05,0.2901456540183339,218.56644254070991,19.00168620844212,193069.77288832498,0.038916271242251624,0.24999999999999994,0.12515367942212005,0.0007112,0.85,6.0,200.0,10665072.527459871,69.81013263481658,92.00833970293895
19.00168620844212,268269.57952797273,0.8675108131246689,4.995879047178814,0.5,49052.76,1.4053668108590556,-32446.41490761999,3.7065076926491176e-05,0.4031968450250897,218.55690767849512,19.00168620844212,268269.5795279727,0.054077358179366646,0.24999999999999994,0.12515367938208757,0.0007112,0.85,6.0,200.0,10671661.446506139,69.81012812613584,91.9971486215247
19.00168620844212,372759.3720314938,0.8684101245964538,5.0030137377178425,0.5,49052.76,1.4053819922000907,-45088.05768498608,3.706508872123908e-05,0.5603189509765719,218.54366020365467,19.00168620844212,372759.3720314937,0.07514676280831013,0.24999999999999994,0.12515367932640256,0.0007112,0.85,6.0,200.0,10680819.176723156,69.81012185458084,91.98160229228985
19.00168620844212,517947.46792312124,0.8696601345621549,5.012930408164233,0.5,49052.76000000001,1.4054031497087627,-62657.20575617652,3.706510515574482e-05,0.7787128226378277,218.52525516417955,19.00168620844212,517947.46792312106,0.1044286762602942,0.24999999999999994,0.12515367924891263,0.0007112,0.85,6.0,200.0,10693548.547179615,69.81011312722477,91.9600077424928
19.00168620844212,719685.6730011514,0.8713978305807204,5.0267154696230065,0.5,49052.76,1.405432669739459,-87076.49528908817,3.706512807982194e-05,1.082312063816799,218.4996858271064,19.00168620844212,719685.6730011513,0.14512749214848028,0.24999999999999994,0.12515367914101683,0.0007112,0.85,6.0,200.0,10711245.117913544,69.81010097538913,91.93001573698741
19.00168620844212,1000000.0,0.873813922003034,5.045881137228323,0.5,49052.76000000001,1.4054739226072366,-121020.58892432279,3.706516010357722e-05,1.5044364270010664,218.4641658234275,19.00168620844212,1000000.0,0.20170098154053798,0.24999999999999994,0.1251536789906639,0.0007112,0.85,6.0,200.0,10735852.138448045,69.81008404178472,91.88836809234346
19.00168620844212,1389495.494373136,0.8771741062083853,5.072533757566124,0.5,49052.76,1.4055316963570983,-168212.04991902065,3.706520493076096e-05,2.0915079241692336,218.41482733848272,19.00168620844212,1389495.4943731362,0.28035341653170104,0.24999999999999994,0.1251536787809147,0.0007112,0.85,6.0,200.0,10770077.725387365,69.81006041861494,91.83054929411597
19.00168620844212,1930697.7288832497,0.8818489385097651,5.109610023709732,0.5,49052.76000000001,1.405612846183737,-233835.24015390486,3.706526785689514e-05,2.9082713902989425,218.34630350023073,19.00168620844212,1930697.7288832495,0.3897254002565081,0.24999999999999994,0.12515367848785763,0.0007112,0.85,6.0,200.0,10817700.24410052,69.81002741281155,91.75030767902828
19.00168620844212,2682695.7952797273,0.8883559592415615,5.161209713782983,0.5,49052.76,1.4057272864148835,-325116.84227106627,3.706535652938026e-05,4.04516021851257,218.25115153269343,19.00168620844212,2682695.795279727,0.5418614037851105,0.24999999999999997,0.12515367807754457,0.0007112,0.85,6.0,200.0,10883999.658258889,69.80998120088128,91.63900027419845
19.00168620844212,3727593.720314938,0.8974194429153721,5.233066835607209,0.5,49052.76000000001,1.405889540416476,-452143.05348546855,3.706548213621331e-05,5.628751311084758,218.11905795092696,19.00168620844212,3727593.720314939,0.7535717558091143,0.24999999999999994,0.12515367750140705,0.0007112,0.85,6.0,200.0,10976370.567846358,69.80991631271307,91.48470206404917
19.00168620844212,5179474.6792312125,0.910055792280012,5.3332215007319785,0.5,49052.76000000001,1.4061212213756118,-629015.7605037607,3.7065661317207984e-05,7.836729666470334,217.9357474579577,19.00168620844212,5179474.679231213,1.048359600839601,0.24999999999999997,0.1251536766892612,0.0007112,0.85,6.0,200.0,11105200.758060204,69.80982484361294,91.27100619154123
19.00168620844212,7196856.730011513,0.9276968537072118,5.472987328679834,0.5,49052.76,1.406455100093627,-875499.7846645461,3.706591933018339e-05,10.919559467396802,217.68149329314357,19.00168620844212,7196856.730011513,1.4591663077742438,0.24999999999999997,0.1251536755383737,0.0007112,0.85,6.0,200.0,11285144.429159282,69.80969522282203,90.97542997818383
19.00168620844212,,,,,,,,,,,,,,,,,,,,,,
23.535468936502525,100000.0,0.8331352489322605,4.78178917131684,0.5,49052.76,1.3158456861116536,-12098.391730746564,4.5908868682953154e-05,0.15036710132745795,218.5135549087285,23.535468936502525,100000.0,0.020163986217910938,0.24999999999999994,0.12515373590264914,0.0007112,0.85,6.0,200.0,10227627.216108792,69.81649319332908,87.20458367018804
23.535468936502525,138949.5494373139,0.8334711060213946,4.7844526455822605,0.5,49052.76,1.3158495423369403,-16811.260034540865,4.590887472954109e-05,0.20894648879514227,218.50811613165146,23.535468936502525,138949.54943731386,0.02801876672423478,0.24999999999999994,0.12515373588084827,0.0007112,0.85,6.0,200.0,10231048.946072223,69.81649073844883,87.19969811180046
23.535468936502525,193069.77288832495,0.8339378396080582,4.788153981221993,0.5,49052.76,1.3158549070330043,-23360.327211060026,4.590888314086664e-05,0.29035353327807484,218.5005593236339,23.535468936502525,193069.77288832498,0.038933878685100044,0.24999999999999994,0.12515373585054132,0.0007112,0.85,6.0,200.0,10235804.115229325,69.81648732575044,87.19291041572508
23.535468936502525,268269.57952797273,0.8345864829314059,4.793297839760126,0.5,49052.76000000001,1.3158623737785649,-32461.304016281705,4.5908894846942546e-05,0.4034899871045531,218.49005984552633,23.535468936502525,268269.57952797273,0.05410217336046951,0.24999999999999994,0.12515373580840164,0.0007112,0.85,6.0,200.0,10242412.735413825,69.81648258062921,87.18348042017976
23.535468936502525,372759.3720314938,0.8354879999551176,4.800446887113648,0.5,49052.76000000001,1.3158727729620363,-45109.15143642925,4.5908911148364475e-05,0.5607345729796611,218.47547216727344,23.535468936502525,372759.3720314939,0.07518191906071542,0.24999999999999994,0.125153735749794,0.0007112,0.85,6.0,200.0,10251597.96002552,69.81647598114085,87.17038033665327
