Sherwood number,Power number,Membrane area list,cp (TDS) list,Pressure drop list,K (TDS) list,f list,Re list,Sh (TDS) list,Pn list,Telescoping potential list,Inlet velocity list,Outlet velocity list,Number of pressure vessels list
10.0,100000.0,[49052.76],[1.9127334523977484],[-12058.271547764309],[1.9505873696270575e-05],[0.14957996302591975],[219.0024160328363],[10.0],[99999.99999999997],[0.02009711924627385],[0.24999999999999994],[0.12515336157977613],[200.0]
10.0,138949.5494373139,[49052.76000000001],[1.9127485114890777],[-16755.236937926988],[1.950587497078389e-05],[0.20784712022334162],[218.99943618043542],[10.0],[138949.54943731386],[0.027925394896544976],[0.24999999999999994],[0.1251533615627636],[200.0]
10.0,193069.77288832495,[49052.76000000001],[1.9127694516608136],[-23281.94980409493],[1.950587674287271e-05],[0.2888150642057321],[218.99529585203732],[10.0],[193069.772888325],[0.038803249673491545],[0.24999999999999994],[0.12515336153910667],[200.0]
10.0,268269.57952797273,[49052.76000000001],[1.9127985781106167],[-32351.368410900755],[1.9505879207418665e-05],[0.4013312289243832],[218.9895431994778],[10.0],[268269.57952797285],[0.05391894735150126],[0.24999999999999994],[0.12515336150620046],[200.0]
10.0,372759.3720314938,[49052.76],[1.9128391074264413],[-44954.40566271044],[1.950588263621278e-05],[0.5576942828413763],[218.98155052361818],[10.0],[372759.3720314938],[0.07492400943785073],[0.24999999999999997],[0.1251533614604099],[200.0]
10.0,517947.46792312124,[49052.76000000001],[1.9128955351421233],[-62468.4339601453],[1.9505887408846063e-05],[0.7750032174757828],[218.97044591383423],[10.0],[517947.4679231213],[0.10411405660024217],[0.24999999999999994],[0.12515336139665376],[200.0]
10.0,719685.6730011514,[49052.76000000001],[1.9129741581296704],[-86808.2785464636],[1.9505894056502955e-05],[1.077036428438763],[218.95501838591514],[10.0],[719685.6730011513],[0.14468046424410597],[0.24999999999999994],[0.12515336130781315],[200.0]
10.0,1000000.0,[49052.76],[1.9130838229581495],[-120636.45971725031],[1.9505903324495097e-05],[1.4968714608521672],[218.9335863137997],[10.0],[1000000.0],[0.20106076619541718],[0.24999999999999994],[0.12515336118388376],[200.0]
10.0,1389495.494373136,[49052.76],[1.9132370090498596],[-167656.17009436476],[1.9505916262405287e-05],[2.080542141261307],[218.9038150884586],[10.0],[1389495.4943731362],[0.27942695015727453],[0.24999999999999994],[0.1251533610107469],[200.0]
10.0,1930697.7288832497,[49052.76],[1.9134514170236032],[-233020.0045141038],[1.9505934355634364e-05],[2.892153180065999],[218.86246468057521],[10.0],[1930697.72888325],[0.38836667419017296],[0.24999999999999994],[0.1251533607683647],[200.0]
